Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,salinity_[psu],salinity2_[psu],density_[kg/m3_sigmat],density2_[kg/m3_sigmat],depth_[m],temperature_[C],temperature2_[C],conductivity_[S/m],conductivity2_[S/m],voltage0_[V],voltage1_[V],voltage2_[V],voltage3_[V],voltage4_[V],voltage5_[V],voltage6_[V],voltage7_[V],altimeter_[m],beamAttenuation_[1/m],beamTransmission_[%],fluorescence_[mg/m3],oxygen_[umol/kg],par_[umol_photons/m2/sec],scan
AMBON2015,BC2,B,2015-08-10T08:57:27,-159.943,70.9253,51.6,1,53.37,1,25.0388,25.0364,31.5538,31.5506,52.82,4.0748,4.0735,2.9727,2.9724,0.0,2.6771,0.1096,0.0,3.5985,0.0,0.5915,0.0098,11.83,1.0826,76.2886,0.1914,290.444,0.0,4049
AMBON2015,BC2,B,2015-08-10T08:58:51,-159.943,70.9253,51.6,1,40.2,2,25.0394,25.037,31.5541,31.5511,39.792,4.071,4.0702,2.9719,2.9716,0.0,2.6824,0.1038,0.0,3.6935,0.0,0.7502,0.0098,15.0,0.9783,78.3035,0.177,291.385,0.0,6061
AMBON2015,BC2,B,2015-08-10T09:00:11,-159.943,70.9253,51.6,1,19.43,3,24.3059,24.3037,31.1889,31.1847,19.229,7.8334,7.8256,3.2508,3.2498,0.0,2.8658,0.0507,0.0,4.5,0.0,1.3974,0.7734,27.95,0.1882,95.4052,0.0441,287.215,0.4445,7993
AMBON2015,BC2,B,2015-08-10T09:01:10,-159.943,70.9253,51.6,1,9.57,4,24.1388,24.1353,31.0006,30.9964,9.469,7.9706,7.9721,3.2442,3.2439,0.0,2.8626,0.0506,0.0,4.4669,0.0,1.885,1.0911,37.7,0.2177,94.7045,0.044,285.556,1.0236,9419
AMBON2015,BC2,B,2015-08-10T09:01:56,-159.943,70.9253,51.6,1,2.75,5,24.0309,24.0282,30.9201,30.9175,2.723,8.2851,8.2888,3.2626,3.2627,0.0,2.8631,0.0496,0.0,4.4663,0.0,2.2794,1.4393,45.59,0.2182,94.6913,0.0415,283.175,2.3971,10513
AMBON2015,BC2,B,2015-08-10T09:02:51,-159.943,70.9253,51.6,1,2.09,6,24.0302,24.0281,30.9203,30.9175,2.066,8.2901,8.2894,3.263,3.2627,0.0,2.862,0.0489,0.0,4.4661,0.0,2.3853,1.529,47.71,0.2184,94.6871,0.0399,283.159,2.97,11835
AMBON2015,BC2,B,2015-08-10T09:03:03,-159.943,70.9253,51.6,1,2.03,7,24.031,24.0287,30.9206,30.9177,2.011,8.2868,8.2865,3.2628,3.2625,0.0,2.8632,0.0497,0.0,4.4657,0.0,2.442,1.5575,48.84,0.2188,94.6781,0.0418,283.329,3.1836,12114
AMBON2015,BC2,B,2015-08-10T09:03:10,-159.943,70.9253,51.6,1,2.01,8,24.0307,24.0287,30.9202,30.9172,1.987,8.2862,8.2843,3.2627,3.2622,0.0,2.8622,0.0491,0.0,4.4621,0.0,2.458,1.5554,49.16,0.222,94.6015,0.0404,282.948,3.163,12295
AMBON2015,BC2,B,2015-08-10T09:03:17,-159.943,70.9253,51.6,1,2.21,9,24.0301,24.0278,30.9203,30.9172,2.188,8.2909,8.2903,3.2631,3.2627,0.0,2.862,0.0496,0.0,4.4637,0.0,2.4525,1.5324,49.05,0.2206,94.6348,0.0416,283.659,2.9928,12452
AMBON2015,BC2,B,2015-08-10T09:03:24,-159.943,70.9253,51.6,1,1.98,10,24.0315,24.0295,30.9203,30.9175,1.96,8.2816,8.2803,3.2623,3.2619,0.0,2.8605,0.0491,0.0,4.4661,0.0,2.4549,1.5545,49.1,0.2184,94.6866,0.0404,282.315,3.1598,12616
AMBON2015,BC2,B,2015-08-10T09:03:30,-159.943,70.9253,51.6,1,2.02,11,24.0308,24.0285,30.9198,30.9168,2.003,8.2836,8.2833,3.2624,3.2621,0.0,2.8645,0.0488,0.0,4.464,0.0,2.4407,1.5421,48.81,0.2203,94.6422,0.0396,283.568,3.071,12772
AMBON2015,BC2,B,2015-08-10T09:03:37,-159.943,70.9253,51.6,1,2.19,12,24.0312,24.0288,30.9199,30.9169,2.168,8.2817,8.2817,3.2623,3.262,0.0,2.8617,0.05,0.0,4.4605,0.0,2.4647,1.4912,49.29,0.2234,94.5682,0.0424,282.758,2.7176,12936
AMBON2015,BC2,B,2015-08-10T09:03:43,-159.943,70.9253,51.6,1,1.99,13,24.0313,24.029,30.9197,30.9167,1.969,8.2794,8.2793,3.262,3.2618,0.0,2.8611,0.0492,0.0,4.4604,0.0,2.4464,1.5564,48.93,0.2235,94.5661,0.0406,283.344,3.1692,13090
AMBON2015,BC2,B,2015-08-10T09:03:51,-159.943,70.9253,51.6,1,2.13,14,24.0314,24.0291,30.9199,30.9168,2.107,8.28,8.2796,3.2621,3.2618,0.0,2.8634,0.0495,0.0,4.4648,0.0,1.0807,1.5208,21.62,0.2196,94.6596,0.0412,283.166,2.9172,13271
AMBON2015,BC2,B,2015-08-10T09:04:00,-159.943,70.9253,51.6,1,2.11,15,24.0322,24.0298,30.9198,30.9169,2.092,8.2745,8.2751,3.2617,3.2614,0.0,2.8627,0.0495,0.0,4.4659,0.0,2.4756,1.5215,49.51,0.2186,94.6824,0.0412,283.267,2.9189,13481
AMBON2015,DBO3.8,B,2015-08-12T04:20:24,-168.955,67.6672,51.2,2,44.05,1,26.0106,26.0081,32.7452,32.742,43.608,3.8206,3.8196,3.0522,3.0518,0.0,2.4091,0.0612,0.0,2.5512,0.0,0.1877,0.0098,3.75,2.4595,54.0786,0.0704,253.748,0.0,3752
AMBON2015,DBO3.8,B,2015-08-12T04:20:37,-168.955,67.6672,51.2,2,44.25,2,26.0105,26.0081,32.745,32.7419,43.805,3.8198,3.8187,3.0521,3.0517,0.0,2.4103,0.0627,0.0,2.4632,0.0,0.1615,0.0098,3.23,2.5996,52.2133,0.0744,254.152,0.0,4065
AMBON2015,DBO3.8,B,2015-08-12T04:20:49,-168.955,67.6672,51.2,2,43.96,3,26.0106,26.0082,32.7451,32.742,43.512,3.8201,3.8193,3.0521,3.0518,0.0,2.4089,0.0609,0.0,2.6988,0.0,0.1471,0.0098,2.94,2.234,57.2105,0.0698,254.331,0.0,4334
AMBON2015,DBO3.8,B,2015-08-12T04:20:56,-168.955,67.6672,51.2,2,44.09,4,26.0107,26.0084,32.7453,32.7423,43.645,3.8201,3.8193,3.0521,3.0518,0.0,2.4122,0.0587,0.0,2.6927,0.0,0.111,0.0098,2.22,2.243,57.0806,0.0644,254.748,0.0,4503
AMBON2015,DBO3.8,B,2015-08-12T04:21:03,-168.955,67.6672,51.2,2,43.82,5,26.0106,26.008,32.7452,32.7419,43.38,3.8207,3.8197,3.0522,3.0518,0.0,2.4092,0.0592,0.0,2.6328,0.0,0.1339,0.0098,2.68,2.3332,55.8102,0.0656,254.123,0.0,4692
AMBON2015,DBO3.8,B,2015-08-12T04:22:31,-168.955,67.6672,51.2,2,30.6,6,26.0111,26.0087,32.7462,32.7431,30.289,3.8223,3.8214,3.0518,3.0515,0.0,2.426,0.0641,0.0,3.3037,0.0,0.7372,0.0098,14.74,1.4246,70.0374,0.0779,255.982,0.0,6790
