Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast,LOCAL_CDI_ID,pressure_[dbar],depth_[m],temperature_[C],temperature2_[C],conductivity_[S/m],conductivity2_[S/m],altimeter_[m],beamAttenuation_[1/m],beamTransmission_[%],fluorescence_[mg/m3],oxygen2_[umol/kg],par_[umol_photons/m2/sec],salinity_[psu],salinity2_[psu],density_[kg/m3_sigmat],density2_[kg/m3_sigmat],flag,filename,instrument1,platform1
AMBON2015,BC2,C,2015-08-10T08:54:48,-159.943,70.9253,51.6,1,AMBON2015_001_BC2,0.0,2.97,8.2954,8.2945,3.2642,3.2638,51.43,0.221,94.619,0.0411,281.464,2.711,30.9273,30.924,24.0352,24.0325,1.0,AMBON2015-001.cnv,SBE9,M/V Norseman II
AMBON2015,BC2,C,2015-08-10T08:54:48,-159.943,70.9253,51.6,1,AMBON2015_001_BC2,1.0,2.97,8.2954,8.2945,3.2642,3.2638,51.43,0.221,94.619,0.0411,281.464,2.711,30.9273,30.924,24.0353,24.0325,1.0,AMBON2015-001.cnv,SBE9,M/V Norseman II
AMBON2015,BC2,C,2015-08-10T08:54:48,-159.943,70.9253,51.6,1,AMBON2015_001_BC2,2.0,2.97,8.2954,8.2945,3.2642,3.2638,51.43,0.221,94.619,0.0411,281.464,2.711,30.9273,30.924,24.0353,24.0325,1.0,AMBON2015-001.cnv,SBE9,M/V Norseman II
AMBON2015,BC2,C,2015-08-10T08:54:48,-159.943,70.9253,51.6,1,AMBON2015_001_BC2,3.0,2.97,8.2954,8.2945,3.2642,3.2638,51.43,0.221,94.619,0.0411,281.464,2.711,30.9273,30.924,24.0353,24.0325,0.0,AMBON2015-001.cnv,SBE9,M/V Norseman II
AMBON2015,BC2,C,2015-08-10T08:54:48,-159.943,70.9253,51.6,1,AMBON2015_001_BC2,4.0,3.959,8.2844,8.2813,3.2633,3.2627,50.72,0.221,94.632,0.0376,281.649,2.34,30.9275,30.9238,24.037,24.0343,0.0,AMBON2015-001.cnv,SBE9,M/V Norseman II
AMBON2015,BC2,C,2015-08-10T08:54:48,-159.943,70.9253,51.6,1,AMBON2015_001_BC2,5.0,4.949,8.2623,8.261,3.2615,3.2611,49.91,0.22,94.645,0.0402,281.647,2.053,30.9278,30.9244,24.0405,24.0376,0.0,AMBON2015-001.cnv,SBE9,M/V Norseman II
AMBON2015,BC2,C,2015-08-10T08:54:48,-159.943,70.9253,51.6,1,AMBON2015_001_BC2,6.0,5.939,8.1907,8.2058,3.2558,3.2566,49.05,0.218,94.684,0.0409,281.594,1.834,30.9308,30.9258,24.0531,24.0467,0.0,AMBON2015-001.cnv,SBE9,M/V Norseman II
AMBON2015,BC2,C,2015-08-10T08:54:48,-159.943,70.9253,51.6,1,AMBON2015_001_BC2,7.0,6.929,8.1037,8.1049,3.251,3.2507,27.66,0.217,94.708,0.0396,282.002,1.66,30.9557,30.9514,24.085,24.0811,0.0,AMBON2015-001.cnv,SBE9,M/V Norseman II
AMBON2015,BC2,C,2015-08-10T08:54:48,-159.943,70.9253,51.6,1,AMBON2015_001_BC2,8.0,7.919,8.0538,8.0536,3.2486,3.2482,46.04,0.218,94.694,0.0396,282.051,1.477,30.9741,30.9704,24.1065,24.1032,0.0,AMBON2015-001.cnv,SBE9,M/V Norseman II
AMBON2015,BC2,C,2015-08-10T08:54:48,-159.943,70.9253,51.6,1,AMBON2015_001_BC2,9.0,8.908,7.9625,7.9633,3.2438,3.2435,45.36,0.216,94.732,0.0402,282.652,1.357,31.0039,30.9998,24.1428,24.1391,0.0,AMBON2015-001.cnv,SBE9,M/V Norseman II
