Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast_Number,Pressure_[dbar],Bottle_Number,salinity_[psu],salinity2_[psu],density_[kg/m3_sigmat],density2_[kg/m3_sigmat],depth_[m],temperature_[C],temperature2_[C],conductivity_[S/m],conductivity2_[S/m],voltage0_[V],voltage1_[V],voltage2_[V],voltage3_[V],voltage4_[V],voltage5_[V],voltage6_[V],voltage7_[V],altimeter_[m],beamAttenuation_[1/m],beamTransmission_[%],fluorescence_[mg/m3],oxygen_[umol/kg],oxygen2_[umol/kg],par_[umol_photons/m2/sec],scan
AMBON2017,DBO3.8,B,2017-08-07T01:27:51,-168.9557,67.6663,48,1,49.78,1,32.6326,32.6334,25.8895,25.8901,49.273,4.1387,4.138,3.0698,3.0698,2.4082,2.5942,0.0609,0.3237,2.5395,0.0,0.0614,0.0098,1.23,2.4773,53.8313,0.0696,285.468,284.066,0.0,2820
AMBON2017,DBO3.8,B,2017-08-07T01:28:10,-168.9557,67.6663,48,1,49.95,2,32.6324,32.6332,25.8893,25.89,49.449,4.1393,4.1389,3.0698,3.0698,2.4049,2.595,0.0632,0.3284,2.5124,0.0,0.0639,0.0098,1.28,2.5205,53.2569,0.0755,285.508,285.019,0.0,3269
AMBON2017,DBO3.8,B,2017-08-07T01:29:49,-168.9557,67.6663,48,1,40.7,3,32.6303,32.631,25.8862,25.8867,40.288,4.153,4.1535,3.0704,3.0705,2.4226,2.6131,0.0638,0.3409,2.9479,0.0,0.5217,0.0098,10.43,1.8805,62.4926,0.0769,287.627,287.25,0.0,5644
AMBON2017,DBO3.8,B,2017-08-07T01:30:01,-168.9557,67.6663,48,1,40.85,4,32.6301,32.631,25.886,25.8868,40.437,4.153,4.1525,3.0704,3.0704,2.424,2.6153,0.0614,0.3393,3.0273,0.0,0.5205,0.0098,10.41,1.7742,64.1767,0.0711,287.649,286.545,0.0,5928
AMBON2017,DBO3.8,B,2017-08-07T01:31:24,-168.9557,67.6663,48,1,29.55,5,32.6301,32.6308,25.8858,25.8864,29.254,4.1553,4.1547,3.0701,3.0701,2.4323,2.6191,0.0614,0.362,3.1413,0.0,1.0801,0.2002,21.6,1.6263,66.5926,0.0709,288.7,286.904,0.051,7913
AMBON2017,DBO3.8,B,2017-08-07T01:31:34,-168.9557,67.6663,48,1,29.62,6,32.6302,32.6307,25.886,25.8864,29.326,4.1543,4.1545,3.07,3.0701,2.4309,2.6206,0.0606,0.3621,3.1289,0.0,1.0774,0.1841,21.55,1.6421,66.3305,0.0689,288.379,287.256,0.0457,8165
AMBON2017,DBO3.8,B,2017-08-07T01:32:49,-168.9557,67.6663,48,1,20.86,7,32.6274,32.628,25.8805,25.8811,20.654,4.1864,4.1855,3.0721,3.0721,2.4403,2.6278,0.0553,0.3834,3.1147,0.0,1.5115,1.1944,30.23,1.6603,66.0293,0.0559,289.41,287.171,1.3246,9951
AMBON2017,DBO3.8,B,2017-08-07T01:33:03,-168.9557,67.6663,48,1,20.93,8,32.6273,32.6279,25.8805,25.8811,20.716,4.186,4.1851,3.0721,3.072,2.4397,2.6305,0.0638,0.3851,3.1576,0.0,1.5205,1.1909,30.41,1.6056,66.9382,0.0769,289.19,288.761,1.3122,10308
AMBON2017,DBO3.8,B,2017-08-07T01:34:13,-168.9557,67.6663,48,1,10.66,9,32.6634,32.6633,25.8212,25.8213,10.559,5.0176,5.0156,3.1453,3.1452,2.7681,2.9839,0.1279,0.3251,3.8022,0.0,2.0291,2.6867,40.58,0.8623,80.6079,0.2372,330.664,328.909,43.96,11976
AMBON2017,DBO3.8,B,2017-08-07T01:34:25,-168.9557,67.6663,48,1,10.71,10,32.6618,32.6615,25.8206,25.8215,10.607,5.0112,5.0008,3.1447,3.1438,2.7687,2.9837,0.1216,0.322,3.8004,0.0,2.034,2.6884,40.68,0.8642,80.5698,0.2214,331.376,329.666,44.076,12258
AMBON2017,DBO3.8,B,2017-08-07T01:35:46,-168.9557,67.6663,48,1,5.51,11,32.7118,32.7123,25.6533,25.6538,5.459,6.7224,6.7217,3.2962,3.2961,3.4292,3.7058,0.2068,0.1844,3.9129,0.0,2.2946,3.3285,45.89,0.7475,82.9557,0.4345,409.629,406.6,192.86,14207
AMBON2017,DBO3.8,B,2017-08-07T01:36:03,-168.9557,67.6663,48,1,5.62,12,32.7131,32.7127,25.6544,25.6539,5.563,6.7224,6.7233,3.2963,3.2963,3.4282,3.7069,0.1987,0.1879,3.9334,0.0,2.2905,3.2996,45.81,0.7265,83.3911,0.4144,409.173,407.253,180.43,14629
AMBON2017,DBO3.8,B,2017-08-07T01:36:12,-168.9557,67.6663,48,1,5.48,13,32.7142,32.7141,25.6555,25.6554,5.426,6.7207,6.7206,3.2962,3.2962,3.4281,3.7062,0.2064,0.1861,3.9157,0.0,2.2953,3.3219,45.9,0.7445,83.0158,0.4335,409.648,406.972,189.84,14825
AMBON2017,DBO3.8,B,2017-08-07T01:36:21,-168.9557,67.6663,48,1,5.5,14,32.7178,32.7185,25.6592,25.6598,5.441,6.7139,6.7131,3.296,3.296,3.4283,3.7072,0.2012,0.1844,3.9408,0.0,2.2881,3.3198,45.76,0.719,83.5485,0.4204,409.64,406.723,188.9,15048
AMBON2017,DBO3.8,B,2017-08-07T01:36:32,-168.9557,67.6663,48,1,5.53,15,32.7218,32.7214,25.6675,25.6646,5.475,6.6739,6.6935,3.2928,3.2945,3.4193,3.7022,0.1962,0.1837,3.9748,0.0,2.2938,3.3188,45.88,0.6847,84.2677,0.4079,408.154,405.996,188.51,15308
AMBON2017,DBO3.7,B,2017-08-07T05:58:59,-168.6045,67.7835,51,2,47.11,1,32.7576,32.7585,26.0049,26.0057,46.631,3.9768,3.9762,3.0666,3.0666,2.3249,2.5023,0.0495,0.2959,2.8775,0.0,0.1822,0.0098,3.64,1.9778,60.9998,0.0412,274.141,273.08,0.0,5360
AMBON2017,DBO3.7,B,2017-08-07T05:59:13,-168.6045,67.7835,51,2,47.14,2,32.7577,32.7584,26.0051,26.0057,46.667,3.976,3.9759,3.0665,3.0666,2.3254,2.5028,0.0531,0.294,2.8506,0.0,0.1821,0.0098,3.64,2.015,60.428,0.0504,274.196,273.258,0.0,5694
AMBON2017,DBO3.7,B,2017-08-07T06:00:31,-168.6045,67.7835,51,2,42.31,3,32.7579,32.7587,26.0057,26.0064,41.886,3.9713,3.9705,3.0659,3.0659,2.325,2.5028,0.0474,0.2909,3.2967,0.0,0.4181,0.1043,8.36,1.4331,69.8889,0.0359,274.091,273.074,0.0226,7553
AMBON2017,DBO3.7,B,2017-08-07T06:00:45,-168.6045,67.7835,51,2,42.39,4,32.6279,32.7586,25.9019,26.006,41.961,3.9755,3.9735,3.0553,3.0662,2.3183,2.4997,0.0496,0.2912,3.1436,0.0,0.419,0.091,8.38,1.6234,66.6418,0.0414,272.268,272.414,0.0191,7895
AMBON2017,DBO3.7,B,2017-08-07T06:02:36,-168.6045,67.7835,51,2,30.61,5,32.7575,32.7583,25.9936,25.9949,30.305,4.0905,4.0837,3.0755,3.075,2.3896,2.5785,0.051,0.2974,4.1086,0.0,1.017,0.737,20.34,0.5522,87.1053,0.0451,282.542,282.179,0.4013,10564
AMBON2017,DBO3.7,B,2017-08-07T06:02:47,-168.6045,67.7835,51,2,30.6,6,32.7567,32.7577,25.9944,25.9956,30.288,4.0762,4.0716,3.0742,3.0739,2.3884,2.5753,0.0483,0.2975,4.0544,0.0,1.013,0.731,20.26,0.6053,85.9571,0.0383,282.257,281.76,0.3946,10824
AMBON2017,DBO3.7,B,2017-08-07T06:04:28,-168.6045,67.7835,51,2,20.16,7,32.755,32.7559,25.9246,25.9256,19.963,4.7352,4.7325,3.1296,3.1295,2.5679,2.773,0.0823,0.3054,4.2246,0.0,1.5439,1.2803,30.88,0.4408,89.5657,0.1232,304.366,303.487,1.6331,13238
AMBON2017,DBO3.7,B,2017-08-07T06:04:40,-168.6045,67.7835,51,2,20.28,8,32.7547,32.7566,25.924,25.9263,20.076,4.7394,4.7323,3.13,3.1295,2.5733,2.7727,0.1027,0.3072,4.2192,0.0,1.5344,1.2714,30.69,0.4459,89.451,0.1744,304.838,303.372,1.5979,13530
AMBON2017,DBO3.7,B,2017-08-07T06:06:03,-168.6045,67.7835,51,2,17.0,9,32.7389,32.7387,25.867,25.8669,16.833,5.143,5.1423,3.1629,3.1628,2.8382,3.0684,0.1633,0.3048,4.0922,0.0,1.6966,1.5628,33.93,0.5681,86.7592,0.3257,339.754,339.529,3.2142,15517
AMBON2017,DBO3.7,B,2017-08-07T06:07:21,-168.6045,67.7835,51,2,10.28,10,32.7313,32.7331,25.7293,25.7311,10.172,6.2494,6.2464,3.2571,3.257,3.2259,3.4855,0.1073,0.2927,4.2362,0.0,2.0377,2.1119,40.76,0.4298,89.8114,0.1859,385.666,384.077,11.617,17410
AMBON2017,DBO3.7,B,2017-08-07T06:07:33,-168.6045,67.7835,51,2,10.36,11,32.7333,32.7342,25.7371,25.7377,10.256,6.1996,6.2007,3.253,3.2532,3.2092,3.475,0.1081,0.2951,4.2358,0.0,2.0354,2.102,40.71,0.4302,89.8034,0.1876,383.276,382.518,11.353,17687
AMBON2017,DBO3.7,B,2017-08-07T06:09:15,-168.6045,67.7835,51,2,7.39,12,32.6651,32.6647,25.608,25.6076,7.318,6.7874,6.7885,3.2976,3.2977,3.3787,3.6621,0.1342,0.1989,4.0654,0.0,2.1862,2.3515,43.72,0.5945,86.1896,0.2529,402.152,399.853,20.237,20134
