Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal_degrees_north],Bot. Depth [m],Cast,LOCAL_CDI_ID,pressure_[dbar],depth_[m],temperature_[C],temperature2_[C],conductivity_[S/m],conductivity2_[S/m],altimeter_[m],beamAttenuation_[1/m],beamTransmission_[%],fluorescence_[mg/m3],oxygen_[umol/kg],oxygen2_[umol/kg],par_[umol_photons/m2/sec],salinity_[psu],salinity2_[psu],density_[kg/m3_sigmat],density2_[kg/m3_sigmat],flag,filename,instrument1,platform1
AMBON2017,DBO3.8,C,2017-08-07T01:24:37,-168.9557,67.6663,48.0,1,AMBON2017_001_DBO3.8,0.0,2.97,6.7333,6.7311,3.2964,3.2962,48.55,0.798,81.91,0.3303,410.763,406.506,344.53,32.7049,32.7057,25.6467,25.6474,1.0,AMBON17-001-DBO3-8.cnv,SBE9,M/V Norseman II
AMBON2017,DBO3.8,C,2017-08-07T01:24:37,-168.9557,67.6663,48.0,1,AMBON2017_001_DBO3.8,1.0,2.97,6.7333,6.7311,3.2964,3.2962,48.55,0.798,81.91,0.3303,410.763,406.506,344.53,32.7049,32.7057,25.6467,25.6474,1.0,AMBON17-001-DBO3-8.cnv,SBE9,M/V Norseman II
AMBON2017,DBO3.8,C,2017-08-07T01:24:37,-168.9557,67.6663,48.0,1,AMBON2017_001_DBO3.8,2.0,2.97,6.7333,6.7311,3.2964,3.2962,48.55,0.798,81.91,0.3303,410.763,406.506,344.53,32.7049,32.7057,25.6467,25.6474,1.0,AMBON17-001-DBO3-8.cnv,SBE9,M/V Norseman II
AMBON2017,DBO3.8,C,2017-08-07T01:24:37,-168.9557,67.6663,48.0,1,AMBON2017_001_DBO3.8,3.0,2.97,6.7333,6.7311,3.2964,3.2962,48.55,0.798,81.91,0.3303,410.763,406.506,344.53,32.7049,32.7057,25.6467,25.6474,0.0,AMBON17-001-DBO3-8.cnv,SBE9,M/V Norseman II
AMBON2017,DBO3.8,C,2017-08-07T01:24:37,-168.9557,67.6663,48.0,1,AMBON2017_001_DBO3.8,4.0,3.96,6.7291,6.7294,3.2961,3.2961,47.79,0.801,81.846,0.2917,410.231,407.304,250.02,32.7057,32.7055,25.6479,25.6474,0.0,AMBON17-001-DBO3-8.cnv,SBE9,M/V Norseman II
AMBON2017,DBO3.8,C,2017-08-07T01:24:37,-168.9557,67.6663,48.0,1,AMBON2017_001_DBO3.8,5.0,4.95,6.7276,6.7267,3.296,3.296,46.91,0.784,82.211,0.3366,410.225,408.111,177.3,32.7056,32.7063,25.648,25.6484,0.0,AMBON17-001-DBO3-8.cnv,SBE9,M/V Norseman II
AMBON2017,DBO3.8,C,2017-08-07T01:24:37,-168.9557,67.6663,48.0,1,AMBON2017_001_DBO3.8,6.0,5.94,6.7226,6.7224,3.2957,3.2957,46.14,0.777,82.34,0.3613,410.809,407.533,125.85,32.7066,32.7069,25.6495,25.6494,0.0,AMBON17-001-DBO3-8.cnv,SBE9,M/V Norseman II
AMBON2017,DBO3.8,C,2017-08-07T01:24:37,-168.9557,67.6663,48.0,1,AMBON2017_001_DBO3.8,7.0,6.93,6.7187,6.7183,3.2956,3.2956,45.09,0.796,81.946,0.4014,411.255,406.565,88.838,32.7082,32.7086,25.6513,25.6514,0.0,AMBON17-001-DBO3-8.cnv,SBE9,M/V Norseman II
AMBON2017,DBO3.8,C,2017-08-07T01:24:37,-168.9557,67.6663,48.0,1,AMBON2017_001_DBO3.8,8.0,7.92,6.7115,6.7107,3.2954,3.2953,43.98,0.789,82.101,0.4112,411.009,406.436,64.786,32.7122,32.7128,25.6554,25.6556,0.0,AMBON17-001-DBO3-8.cnv,SBE9,M/V Norseman II
AMBON2017,DBO3.8,C,2017-08-07T01:24:37,-168.9557,67.6663,48.0,1,AMBON2017_001_DBO3.8,9.0,8.91,6.6898,6.6922,3.2938,3.2941,43.08,0.763,82.638,0.4365,411.468,407.343,46.661,32.7159,32.7165,25.6611,25.6609,0.0,AMBON17-001-DBO3-8.cnv,SBE9,M/V Norseman II
