"station","latitude","longitude","SST","SSS","cruise","BT","BS"
"BC2",70.92538,-159.9422,8.2954,30.9273,"AMBON2015",4.0723,31.5542
"CEM",71.59866,-161.50651,4.4962,27.3672,"AMBON2015",-1.5652,32.3408
"CL0",68.89954,-166.42246,10.2182,30.075,"AMBON2015",9.7864,30.1976
"CL1",68.9497,-166.90389,10.0265,30.1181,"AMBON2015",7.4619,31.7046
"CL1.5",69.00057,-167.43495,9.1185,30.7245,"AMBON2015",5.3913,32.0623
"CL2",69.02879,-167.9346,8.9493,30.879,"AMBON2015",6.399,31.9789
"CL2.5",69.03031,-168.4128,8.7561,31.0359,"AMBON2015",6.9655,31.8269
"CL3",69.03368,-168.89273,7.954,31.7894,"AMBON2015",4.7253,32.1396
"DBO3.1",68.29985,-166.93755,10.281,30.0728,"AMBON2015",8.4617,31.1977
"DBO3.2",68.24323,-167.12463,8.5109,31.4896,"AMBON2015",7.6413,31.7238
"DBO3.3",68.18702,-167.30632,7.6238,31.7843,"AMBON2015",7.3734,31.9014
"DBO3.4",68.1254,-167.49779,7.4083,31.9437,"AMBON2015",5.8559,32.0327
"DBO3.5",68.01229,-167.86687,7.3785,31.7516,"AMBON2015",4.6806,32.2596
"DBO3.6",67.8976,-168.23759,5.9858,32.4077,"AMBON2015",4.1919,32.6032
"DBO3.7",67.78347,-168.60471,5.5726,32.6913,"AMBON2015",3.9225,32.6893
"DBO3.8",67.66749,-168.95498,6.0512,32.649,"AMBON2015",3.8203,32.745
"ML1.1",70.03551,-162.76747,7.4819,29.6269,"AMBON2015",7.2228,30.6003
"ML1.10",71.14336,-166.02761,4.2698,31.9092,"AMBON2015",0.3864,32.3599
"ML1.11",71.26662,-166.41984,4.2273,31.8668,"AMBON2015",0.091,32.4007
"ML1.12",71.38689,-166.81948,3.8523,31.7963,"AMBON2015",0.2572,32.3332
"ML1.12.2",71.38565,-166.82182,3.8544,31.7962,"AMBON2015",-0.108,32.3853
"ML1.13",71.50744,-167.22052,3.9035,31.7356,"AMBON2015",-0.1502,32.3812
"ML1.2",70.14072,-163.05162,7.5981,30.682,"AMBON2015",7.5301,30.7489
"ML1.3",70.26779,-163.40639,7.6245,30.6883,"AMBON2015",7.3485,30.7575
"ML1.4",70.39808,-163.7651,7.2292,30.9733,"AMBON2015",6.6107,31.2141
"ML1.5",70.52419,-164.12586,5.7068,31.6739,"AMBON2015",5.5896,31.699
"ML1.6",70.6471,-164.50146,5.0948,31.8608,"AMBON2015",4.8999,31.8786
"ML1.7",70.77236,-164.87791,5.0186,31.8818,"AMBON2015",4.8204,31.8975
"ML1.8",70.89714,-165.25326,5.1019,31.8683,"AMBON2015",1.2476,32.2957
"ML1.9",71.02026,-165.64049,4.847,31.8893,"AMBON2015",0.7074,32.3337
"ML3.1",70.49578,-160.62271,4.4157,31.4961,"AMBON2015",2.2122,31.7883
"ML3.10",71.61708,-163.76551,5.4103,29.8421,"AMBON2015",0.7142,32.2167
"ML3.11",71.74518,-164.16635,5.6585,30.3275,"AMBON2015",1.4859,32.1785
"ML3.12",71.87132,-164.55582,6.683,31.3803,"AMBON2015",1.1292,32.113
"ML3.13",71.99347,-164.95464,7.326,31.0931,"AMBON2015",1.4217,32.0868
"ML3.14",72.12018,-165.35959,7.2891,31.4227,"AMBON2015",1.6296,32.2296
"ML3.2",70.5777,-160.83655,7.852,30.8064,"AMBON2015",1.6417,31.9902
"ML3.3",70.71432,-161.18025,7.647,30.8051,"AMBON2015",1.119,32.0249
"ML3.4",70.84101,-161.54071,7.3675,30.7466,"AMBON2015",1.1135,32.0727
"ML3.4A",70.9072,-161.71764,7.5754,30.7018,"AMBON2015",0.7211,32.1653
