"station","strat","cruise"
"BC2",0.0185981481481482,"AMBON2015"
"CEM",0.10325,"AMBON2015"
"CL0",0.00688749999999994,"AMBON2015"
"CL1",0.0396048780487805,"AMBON2015"
"CL1.5",0.0360302325581395,"AMBON2015"
"CL2",0.0282930232558139,"AMBON2015"
"CL2.5",0.0202930232558139,"AMBON2015"
"CL3",0.0157674418604651,"AMBON2015"
"DBO3.1",0.0414642857142858,"AMBON2015"
"DBO3.2",0.00857222222222218,"AMBON2015"
"DBO3.3",0.00302142857142864,"AMBON2015"
"DBO3.4",0.00584782608695656,"AMBON2015"
"DBO3.5",0.0148489795918367,"AMBON2015"
"DBO3.6",0.00644909090909093,"AMBON2015"
"DBO3.7",0.00400681818181813,"AMBON2015"
"DBO3.8",0.00714222222222223,"AMBON2015"
"ML1.1",0.0726272727272727,"AMBON2015"
"ML1.10",0.0172315789473685,"AMBON2015"
"ML1.11",0.0187615384615385,"AMBON2015"
"ML1.12",0.0176666666666667,"AMBON2015"
"ML1.12.2",0.018251219512195,"AMBON2015"
"ML1.13",0.0185976744186046,"AMBON2015"
"ML1.2",0.00344444444444451,"AMBON2015"
"ML1.3",0.00352692307692306,"AMBON2015"
"ML1.4",0.00898666666666668,"AMBON2015"
"ML1.5",0.00088947368421051,"AMBON2015"
"ML1.6",0.000868292682926799,"AMBON2015"
"ML1.7",0.000999999999999968,"AMBON2015"
"ML1.8",0.0177394736842105,"AMBON2015"
"ML1.9",0.0182131578947368,"AMBON2015"
"ML3.1",0.0326769230769232,"AMBON2015"
"ML3.10",0.0615810810810811,"AMBON2015"
"ML3.11",0.0542735294117647,"AMBON2015"
"ML3.12",0.0325647058823529,"AMBON2015"
"ML3.13",0.0382694444444445,"AMBON2015"
"ML3.14",0.030365,"AMBON2015"
"ML3.2",0.0688086956521739,"AMBON2015"
"ML3.3",0.0436837837837838,"AMBON2015"
"ML3.4",0.0405707317073171,"AMBON2015"
"ML3.4A",0.045585,"AMBON2015"
"ML3.5",0.0459292682926829,"AMBON2015"
"ML3.5A",0.050295,"AMBON2015"
"ML3.6",0.0447488372093024,"AMBON2015"
"ML3.6A",0.0538268292682927,"AMBON2015"
"ML3.7",0.0614380952380953,"AMBON2015"
"ML3.7A",0.0647809523809524,"AMBON2015"
"ML3.8",0.0719707317073171,"AMBON2015"
"ML3.8A",0.0694842105263158,"AMBON2015"
"ML3.9",0.0556102564102564,"AMBON2015"
"ML3.9A",0.0506,"AMBON2015"
"ML4.1",0.036,"AMBON2015"
"ML4.10",0.1484,"AMBON2015"
"ML4.105",0.13370303030303,"AMBON2015"
"ML4.11",0.133691428571429,"AMBON2015"
"ML4.115",0.122370588235294,"AMBON2015"
"ML4.12",0.0388777777777779,"AMBON2015"
"ML4.13",0.0359525,"AMBON2015"
"ML4.14",0.0381113636363636,"AMBON2015"
"ML4.2",0.0461309523809524,"AMBON2015"
"ML4.3",0.0405519230769231,"AMBON2015"
"ML4.4",0.053394,"AMBON2015"
"ML4.5",0.0841955555555555,"AMBON2015"
"ML4.6",0.0792465116279069,"AMBON2015"
"ML4.7",0.10023488372093,"AMBON2015"
"ML4.8",0.118276315789474,"AMBON2015"
"ML4.9",0.124436111111111,"AMBON2015"
