Station,Bottle #,Date UTC,data type,sigma-t,sigma-t (2),salinity,salinity (2),depth (m),depth (m),temperature,temperature-2,conductivity-1,conductivity=2,V0,V1,V2,V3,V4,V5,V6,V7,altimeter (m),beam attenuation,beam transmission,fluorescence,oxygen (�mols kg-1),PAR,latitude,longitude,
AMBON2015_001,1,10-Aug-15,mean,25.0388,25.0364,31.5538,31.5506,53.37,52.82,4.0748,4.0735,2.972732,2.972358,0,2.6771,0.1096,0,3.5985,0,0.5915,0.0098,11.83,1.0826,76.2886,0.1914,290.444,1E-12,70.92534,-159.9408,4049
AMBON2015_001,,0:57:27,sdev,,,,,0.033,0.033,0.0002,0.0002,0.00002,0.000018,0,0.0007,0.0008,0,0.0086,0,0.0207,0,0.41,0.0096,0.1827,0.002,0.092,0,0,0,14
AMBON2015_001,,,min,,,,,53.266,52.717,4.0745,4.0732,2.972685,2.972316,0,2.6764,0.1074,0,3.5873,0,0.5653,0.0098,11.31,1.0733,76.0513,0.1861,290.284,1E-12,70.92534,-159.9408,4025
AMBON2015_001,,,max,,,,,53.415,52.864,4.0752,4.0739,2.972773,2.9724,0,2.6777,0.1099,0,3.6068,0,0.6361,0.0098,12.72,1.095,76.4656,0.1922,290.627,1E-12,70.92534,-159.9408,4073
AMBON2015_001,2,10-Aug-15,mean,25.0394,25.037,31.5541,31.5511,40.205,39.792,4.071,4.0702,2.971883,2.971559,0,2.6824,0.1038,0,3.6935,0,0.7502,0.0098,15,0.9783,78.3035,0.177,291.385,1E-12,70.92532,-159.94003,6061
AMBON2015_001,,0:58:51,sdev,,,,,0.062,0.062,0.0004,0.0002,0.000034,0.00002,0,0.0004,0.0032,0,0.0074,0,0.0323,0,0.65,0.008,0.1563,0.0081,0.173,0,0.00001,0.00001,14
AMBON2015_001,,,min,,,,,40.127,39.715,4.0704,4.0698,2.971826,2.971526,0,2.6813,0.1001,0,3.6874,0,0.7118,0.0098,14.24,0.9467,78.1745,0.1678,290.925,1E-12,70.9253,-159.94004,6037
AMBON2015_001,,,max,,,,,40.378,39.963,4.0721,4.0706,2.971974,2.971599,0,2.6838,0.1099,0,3.7228,0,0.8205,0.0098,16.41,0.9849,78.9254,0.1922,291.56,1E-12,70.92532,-159.94002,6085
AMBON2015_001,3,10-Aug-15,mean,24.3059,24.3037,31.1889,31.1847,19.428,19.229,7.8334,7.8256,3.25084,3.249792,0,2.8658,0.0507,0,4.5,0,1.3974,0.7734,27.95,0.1882,95.4052,0.0441,287.215,0.444,70.92526,-159.93929,7993
AMBON2015_001,,1:00:11,sdev,,,,,0.08,0.079,0.0011,0.0043,0.000143,0.000469,0,0.0004,0.0006,0,0.0007,0,0.034,0.0046,0.68,0.0007,0.0159,0.0015,0.283,0.0057,0,0.00002,14
AMBON2015_001,,,min,,,,,19.308,19.11,7.8306,7.8198,3.250582,3.249297,0,2.8657,0.0501,0,4.4994,0,1.359,0.7656,27.18,0.1865,95.3931,0.0427,286.738,0.435,70.92526,-159.93932,7969
AMBON2015_001,,,max,,,,,19.708,19.506,7.8354,7.8349,3.251082,3.250644,0,2.8669,0.0513,0,4.5018,0,1.4676,0.7814,29.35,0.1887,95.4448,0.0457,287.641,0.455,70.92526,-159.93928,8017
AMBON2015_001,4,10-Aug-15,mean,24.1388,24.1353,31.0006,30.9964,9.566,9.469,7.9706,7.9721,3.24418,3.243915,0,2.8626,0.0506,0,4.4669,0,1.885,1.0911,37.7,0.2177,94.7045,0.044,285.556,1.02,70.92523,-159.93871,9419
AMBON2015_001,,1/1/2010,sdev,,,,,0.132,0.131,0.0101,0.0129,0.000431,0.00059,0,0.0006,0.0007,0,0.0009,0,0.0228,0.0063,0.46,0.0008,0.0182,0.0016,0.168,0.0161,0.00001,0.00001,14
AMBON2015_001,,,min,,,,,9.328,9.233,7.9594,7.959,3.243698,3.243292,0,2.862,0.0488,0,4.4664,0,1.8571,1.0818,37.14,0.2159,94.694,0.0396,285.26,1,70.92522,-159.93872,9395
AMBON2015_001,,,max,,,,,9.775,9.675,7.9999,7.9975,3.245484,3.245032,0,2.8632,0.0513,0,4.4689,0,1.9316,1.1001,38.63,0.2181,94.7457,0.0457,285.784,1.05,70.92524,-159.9387,9443
AMBON2015_001,5,10-Aug-15,mean,24.0309,24.0282,30.9201,30.9175,2.751,2.723,8.2851,8.2888,3.262605,3.262663,0,2.8631,0.0496,0,4.4663,0,2.2794,1.4393,45.59,0.2182,94.6913,0.0415,283.175,2.4,70.9252,-159.93836,10513
AMBON2015_001,,1/1/1956,sdev,,,,,0.037,0.036,0.0054,0.0047,0.000466,0.000411,0,0.001,0.0006,0,0.0012,0,0.0161,0.0131,0.32,0.0011,0.026,0.0015,0.472,0.0756,0,0,14
AMBON2015_001,,,min,,,,,2.642,2.615,8.272,8.2781,3.261576,3.261801,0,2.862,0.0488,0,4.464,0,2.2625,1.4188,45.25,0.217,94.6422,0.0396,282.578,2.28,70.9252,-159.93836,10489
AMBON2015_001,,,max,,,,,2.825,2.796,8.2938,8.2955,3.263422,3.263219,0,2.8645,0.0501,0,4.4676,0,2.3114,1.4603,46.23,0.2203,94.7198,0.0427,283.98,2.52,70.9252,-159.93836,10537
AMBON2015_001,6,10-Aug-15,mean,24.0302,24.0281,30.9203,30.9175,2.088,2.066,8.2901,8.2894,3.263013,3.262687,0,2.862,0.0489,0,4.4661,0,2.3853,1.529,47.71,0.2184,94.6871,0.0399,283.159,2.97,70.92516,-159.93791,11835
AMBON2015_001,,1/2/1951,sdev,,,,,0.043,0.043,0.002,0.0013,0.000164,0.000112,0,0,0.0004,0,0.0008,0,0.0171,0.0203,0.34,0.0008,0.0181,0.0009,0.153,0.144,0,0.00001,14
AMBON2015_001,,,min,,,,,2.033,2.012,8.2856,8.2873,3.262638,3.262481,0,2.862,0.0488,0,4.4652,0,2.3541,1.5031,47.08,0.217,94.6681,0.0396,282.754,2.79,70.92516,-159.93792,11811
AMBON2015_001,,,max,,,,,2.243,2.22,8.2944,8.2916,3.263331,3.262859,0,2.862,0.0501,0,4.4676,0,2.4237,1.5617,48.47,0.2192,94.7198,0.0427,283.321,3.21,70.92516,-159.9379,11859
