Station Number,Station Name,Date,Latitude,Longitude,Depth (m),Temperature,Salinity,Bottle #,Chla Conc (ug/L),Ammonia [µmol/L],Phosphate [µmol/L],Nitrite + Nitrate [µmol/L],Silicate [µmol/L],delta O-18
AMBON17-001,DBO3.8,20170806,67.667,-168.955,49.27,4.14,32.63,1,2.06,2.87,1.66,12.43,35.13,-1.11
AMBON17-001,DBO3.8,20170806,67.667,-168.955,49.45,4.14,32.63,2,,,,,,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,40.29,4.15,32.63,3,2.23,2.66,1.63,12.5,35.89,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,40.44,4.15,32.63,4,,,,,,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,29.25,4.16,32.63,5,2.13,3.26,1.66,13.29,36.25,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,29.33,4.15,32.63,6,,,,,,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,20.65,4.19,32.63,7,2.18,2.71,1.55,12.07,34.79,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,20.72,4.19,32.63,8,,,,,,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,10.56,5.02,32.66,9,8.68,0.57,1.01,5.81,23.06,
AMBON17-001,DBO3.8,20170806,67.667,-168.955,10.61,5.01,32.66,10,,,,,,
AMBON17-001,DBO3.8,20170806,67.667,-168.954,5.46,6.72,32.71,11,9.28,0.32,0.32,0.29,11.04,-1.1
AMBON17-001,DBO3.8,20170806,67.668,-168.954,5.56,6.72,32.71,12,,,,,,
AMBON17-001,DBO3.8,20170806,67.668,-168.954,5.43,6.72,32.71,13,,,,,,
AMBON17-001,DBO3.8,20170806,67.668,-168.954,5.44,6.71,32.72,14,,,,,,
AMBON17-001,DBO3.8,20170806,67.668,-168.954,5.48,6.67,32.72,15,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,46.63,3.98,32.76,1,0.96,3.7,1.73,12.07,30.61,-1.03
AMBON17-002,DBO3.7,20170806,67.784,-168.605,46.67,3.98,32.76,2,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,41.89,3.97,32.76,3,0.78,3.75,1.65,11.86,30.36,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,41.96,3.98,32.63,4,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,30.31,4.09,32.76,5,0.94,3.25,1.61,11.64,28.81,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,30.29,4.08,32.76,6,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,19.96,4.74,32.76,7,2.51,0.81,1.2,7.36,19.79,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,20.08,4.74,32.75,8,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,16.83,5.14,32.74,9,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,10.17,6.25,32.73,10,3.06,0.27,0.32,0.25,8.66,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,10.26,6.2,32.73,11,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,7.32,6.79,32.67,12,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.605,7.28,6.79,32.66,13,,,,,,
AMBON17-002,DBO3.7,20170806,67.784,-168.604,4.92,8,32,14,2.01,0.22,0.21,0.17,3.28,-1.34
AMBON17-002,DBO3.7,20170806,67.784,-168.604,4.91,8.02,31.99,15,,,,,,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,53.54,3.94,32.51,1,2.16,3.8,1.47,7.03,34.17,-1.06
AMBON17-003,DBO3.6,20170807,67.897,-168.237,53.61,3.94,32.52,2,,,,,,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,41.18,3.93,32.49,3,1.08,3.63,1.44,6.94,32.17,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,41.19,3.93,32.49,4,,,,,,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,30.09,4.06,32.4,5,0.98,2.43,1.37,7.21,22.3,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,29.99,4.06,32.4,6,,,,,,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,19.95,4.28,32.27,7,1.81,0.76,1.01,2.02,15.28,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,19.95,4.28,32.27,8,,,,,,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,10.32,5.07,32.15,9,3.84,0.19,0.62,0.15,9.19,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,10.3,5.06,32.15,10,,,,,,
AMBON17-003,DBO3.6,20170807,67.897,-168.237,5.19,6.66,32.08,11,19.52,0.88,0.48,0.12,7.14,-1.29
AMBON17-003,DBO3.6,20170807,67.897,-168.237,5.15,6.66,32.08,12,,,,,,
