GMT Date/Time,Cruise,Station #,Station Name,Alternate Station Name,Latitude,Longitude,Depth (m)
Aug 10 2015  08:54:48,AMBON 2015,1,BC2,,70.9253,-159.943,51.6
Aug 12 2015  04:17:41,AMBON 2015,2,DBO3.8,,68.30000,-166.93500,51.2
Aug 12 2015  07:16:08,AMBON 2015,3,DBO3.7,,68.24200,-167.12200,47.7
Aug 12 2015  09:38:54,AMBON 2015,4,DBO3.6,,68.18500,-167.30800,55.9
Aug 12 2015  12:19:36,AMBON 2015,5,DBO3.5,,68.12800,-167.49500,50.8
Aug 12 2015  14:42:53,AMBON 2015,6,DBO3.4,,68.01300,-167.86700,47.8
Aug 13 2015  04:12:57,AMBON 2015,7,DBO3.3,,67.89800,-168.23500,45.6
Aug 13 2015  05:38:50,AMBON 2015,8,DBO3.2,,67.78300,-168.60200,41
Aug 13 2015  07:42:57,AMBON 2015,9,DBO3.1,,67.67000,-168.96000,32.6
Aug 13 2015  12:34:33,AMBON 2015,10,CL0,,68.90000,-166.42000,28.8
Aug 13 2015  15:18:52,AMBON 2015,12,CL1,,68.94800,-166.91780,44.2
Aug 14 2015  04:04:17,AMBON 2015,13,CL3,,69.00320,-168.89380,50.6
Aug 14 2015  10:36:51,AMBON 2015,14,CL2.5,,69.03017,-168.41167,48.4
Aug 14 2015  11:58:11,AMBON 2015,15,CL2,,69.02980,-167.93420,47.7
Aug 14 2015  14:46:54,AMBON 2015,16,CL1.5,,68.99983,-167.43533,45.7
Aug 15 2015  04:12:43,AMBON 2015,17,ML6.1,,70.08647,-163.96028,29.5
Aug 15 2015  07:54:11,AMBON 2015,18,ML6.2,ML1.3,70.26827,-163.40424,28.5
Aug 15 2015  10:21:38,AMBON 2015,19,ML6.3,,70.38871,-163.02211,30
Aug 15 2015  12:48:56,AMBON 2015,20,ML6.4,,70.50914,-162.63998,33.1
Aug 16 2015  04:09:33,AMBON 2015,21,ML6.5,,70.62716,-162.25709,37.4
Aug 16 2015  06:30:00,AMBON 2015,22,ML6.6,,70.72474,-161.94051,39.4
Aug 16 2015  09:47:54,AMBON 2015,23,ML6.7,ML3.4,70.84240,-161.54297,42.8
Aug 16 2015  12:56:02,AMBON 2015,24,ML6.8,,70.95918,-161.14020,41.8
Aug 16 2015  15:17:02,AMBON 2015,25,ML6.9,,71.07506,-160.73293,52.2
Aug 19 2015  11:23:24,AMBON 2015,29,ML6.10,ML4.4,71.19333,-160.27442,52.7
Aug 19 2015  14:35:25,AMBON 2015,30,ML6.11,,71.36062,-159.69313,48.6
Aug 19 2015  04:02:36,AMBON 2015,26,ML4.1,,70.89203,-159.39283,25.9
Aug 19 2015  05:43:07,AMBON 2015,27,ML4.2,,70.93133,-159.50782,43.6
Aug 19 2015  08:17:36,AMBON 2015,28,ML4.3,,71.06233,-159.89112,55.6
-999,AMBON 2015,-999,ML4.4,ML6.10,71.19333,-160.27442,-999
Aug 20 2015  04:50:18,AMBON 2015,31,ML4.5,,71.32433,-160.65772,46.4
Aug 20 2015  07:40:47,AMBON 2015,32,ML4.6,,71.45533,-161.04102,45.4
Aug 20 2015  11:06:37,AMBON 2015,33,ML4.7,,71.58868,-161.40358,45.1
Aug 20 2015  13:23:17,AMBON 2015,34,CEM,,71.5987,-161.5062,44.4
Aug 21 2015  05:00:22,AMBON 2015,35,ML4.8,ML5.11,71.72018,-161.78042,42
Aug 21 2015  07:39:38,AMBON 2015,36,ML4.9,,71.84975,-162.16157,39.8
Aug 21 2015  10:15:45,AMBON 2015,37,ML4.10,,71.97990,-162.54103,30.2
Aug 21 2015  12:31:27,AMBON 2015,38,ML4.11,,72.10862,-162.92485,37.4
Aug 21 2015  14:44:56,AMBON 2015,39,ML4.115,,72.1688,-163.1082,37.1
Aug 21 2015  16:01:18,AMBON 2015,40,ML4.105,,72.045,-162.7292,35.8
Aug 22 2015  04:02:08,AMBON 2015,41,ML4.12,,72.23720,-163.31918,37.9
Aug 22 2015  06:26:56,AMBON 2015,42,ML4.13,,72.36473,-163.72418,42.2
Aug 22 2015  09:15:26,AMBON 2015,43,ML4.14,,72.49573,-164.10748,47.4
Aug 22 2015  14:30:16,AMBON 2015,44,ML3.14,,72.11900,-165.35955,42.7
Aug 23 2015  04:11:48,AMBON 2015,45,ML3.13,,71.99457,-164.95438,38.4
Aug 23 2015  06:53:42,AMBON 2015,46,ML3.12,,71.87068,-164.55625,37.7
Aug 23 2015  09:46:18,AMBON 2015,47,ML3.11,,71.74375,-164.15978,36
