eventDate,decimalLatitude,decimalLongitude,eventID,alternate eventID,basisOfRecord,taxonID,nameAccordingToID,NCBI_ID,scientificName,organismQuantity,organismQuantityType,occurrenceStatus,Phylum,Class,Order,Family,Genus,Species,Subspecies,parentEventID,minimumDepthinMeters,maximumDepthinMeters
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,159928,WoRMS,1503213,Amicula vestita,7.680794916,count per 1000 m2,present,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Amicula,vestita,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,490701,WoRMS,,Anomalisipho verkruezeni,11.52119237,count per 1000 m2,present,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Anomalisipho,verkruezeni,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,107006,WoRMS,397924,Argis sp.,72.9675517,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Crangonidae,Argis,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,103700,WoRMS,,Ascidia callosa,3.840397458,count per 1000 m2,present,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,callosa,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,254497,WoRMS,7602,Asterias amurensis,97.93013518,count per 1000 m2,present,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,amurensis,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,103814,WoRMS,864691,Boltenia echinata,238.1046424,count per 1000 m2,present,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Boltenia,echinata,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,146733,WoRMS,1472675,Boreotrophon truncatus,11.52119237,count per 1000 m2,present,Mollusca,Gastropoda,Neogastropoda,Muricidae,Boreotrophon,truncatus,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,1803,WoRMS,7568,Brachiopoda,3.840397458,count per 1000 m2,present,Brachiopoda,,,,,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,103740,WoRMS,,Chelyosoma macleayanum,26.88278221,count per 1000 m2,present,Chordata,Ascidiacea,Phlebobranchia,Corellidae,Chelyosoma,macleayanum,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,107315,WoRMS,41210,Chionoecetes opilio,38.40397458,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,opilio,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,391825,WoRMS,644112,Chlamys behringiana,3.840397458,count per 1000 m2,present,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys,behringiana,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,137722,WoRMS,52628,Crepidula sp. ,3.840397458,count per 1000 m2,present,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,124154,WoRMS,60567,Crossaster papposus,3.840397458,count per 1000 m2,present,Echinodermata,Asteroidea,Valvatida,Solasteridae,Crossaster,papposus,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,181923,WoRMS,,Diastylis alaskensis,3.840397458,count per 1000 m2,present,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,alaskensis,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,515737,WoRMS,587146,Eualus gaimardii gaimardii,276.508617,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,gaimardii,gaimardii,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,130746,WoRMS,862927,Eunoe oerstedi,3.840397458,count per 1000 m2,present,Annelida,Polychaeta,Phyllodocida,Polynoidae,Eunoe,oerstedi,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,333489,WoRMS,,Gaudichaudius iphionelloides,3.840397458,count per 1000 m2,present,Annelida,Polychaeta,Phyllodocida,Polynoidae,Gaudichaudius ,iphionelloides,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,123586,WoRMS,105880,Gorgonocephalus sp.,11.52119237,count per 1000 m2,present,Echinodermata,Ophiuroidea,Euryalida,Gorgonocephalidae,Gorgonocephalus,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,250674,WoRMS,254849,Halocynthia aurantium,30.72317966,count per 1000 m2,present,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Halocynthia,aurantium,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,123276,WoRMS,60577,Henricia sp.,1.920198729,count per 1000 m2,present,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,107323,WoRMS,362706,Hyas coarctatus,57.60596187,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,coarctatus,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,248348,WoRMS,174388,Labidochirus splendescens,23.04238475,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Paguridae,Labidochirus,splendescens,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,107520,WoRMS,397956,Lebbeus groenlandicus,15.36158983,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Thoridae,Lebbeus,groenlandicus,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,369158,WoRMS,,Leptasterias arctica,17.28178856,count per 1000 m2,present,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,arctica,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,125154,WoRMS,59564,Leptasterias polaris,3.840397458,count per 1000 m2,present,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,polaris,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,141819,WoRMS,1113278,Margarites costalis,7.680794916,count per 1000 m2,present,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,costalis,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,102837,WoRMS,371442,Melita dentata,3.840397458,count per 1000 m2,present,Arthropoda,Malacostraca,Amphipoda,Melitidae,Melita,dentata,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,125125,WoRMS,35052,Ophiopholis aculeata,3.840397458,count per 1000 m2,present,Echinodermata,Ophiuroidea,Ophiurida,Ophiactidae,Ophiopholis,aculeata,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,254489,WoRMS,,Pagurus capillatus,15.36158983,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,capillatus,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,106854,WoRMS,6746,Pagurus sp.,7.680794916,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,254490,WoRMS,2058916,Pagurus trigonocheirus,23.04238475,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,trigonocheirus,,AMBON,28.8,28.8
