eventDate,eventTime_GMT,decimalLatitude,decimalLongitude,eventID,alternate eventID,basisOfRecord,taxonID,nameAccordingToID,ScientificName_accepted,Authority_accepted,organismQuantity,organismQuantityType,occurrenceStatus,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,parentEventID,minimumDepthinMeters,maximumDepthinMeters
8/20/2017 23:22,7:22:41 AM,69.34476,163.508,BBL.1,,HumanObservation,1360,WoRMS,Actiniaria,,40.69927873,count per 1000 m2,present,Cnidaria,Anthozoa,Actiniaria,,,,,,AMBON,15,15
8/20/2017 23:22,7:22:41 AM,69.34476,163.508,BBL.1,,HumanObservation,107006,WoRMS,Argis,"Krøyer, 1843",269.2413824,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Crangonidae,Argis,,,,AMBON,15,15
8/20/2017 23:22,7:22:41 AM,69.34476,163.508,BBL.1,,HumanObservation,254497,WoRMS,Asterias amurensis,"Lutken, 1871",15.65356874,count per 1000 m2,present,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,,amurensis,,AMBON,15,15
8/20/2017 23:22,7:22:41 AM,69.34476,163.508,BBL.1,,HumanObservation,106986,WoRMS,Eualus,"Thallwitz, 1891",37.56856499,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,,,,AMBON,15,15
8/20/2017 23:22,7:22:41 AM,69.34476,163.508,BBL.1,,HumanObservation,158357,WoRMS,Eualus fabricii,"(Krøyer, 1841)",297.4178061,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,,fabricii,,AMBON,15,15
8/20/2017 23:22,7:22:41 AM,69.34476,163.508,BBL.1,,HumanObservation,107504,WoRMS,Eualus gaimardii,"(H. Milne Edwards, 1837 [in H. Milne Edwards, 1834-1840])",9.392141247,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,,gaimardii,,AMBON,15,15
8/20/2017 23:22,7:22:41 AM,69.34476,163.508,BBL.1,,HumanObservation,125154,WoRMS,Leptasterias (Hexasterias) polaris,"(Müller & Troschel, 1842)",3.130713749,count per 1000 m2,present,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,,polaris,,AMBON,15,15
8/20/2017 23:22,7:22:41 AM,69.34476,163.508,BBL.1,,HumanObservation,107568,WoRMS,Sclerocrangon boreas,"(Phipps, 1774)",288.0256649,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Crangonidae,Sclerocrangon,,boreas,,AMBON,15,15
8/20/2017 23:22,7:22:41 AM,69.34476,163.508,BBL.1,,HumanObservation,107569,WoRMS,Sclerocrangon ferox,"(Sars G.O., 1877)",18.78428249,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Crangonidae,Sclerocrangon,,ferox,,AMBON,15,15
8/20/2017 23:22,7:22:41 AM,69.34476,163.508,BBL.1,,HumanObservation,106994,WoRMS,Spirontocaris,"Spence Bate, 1888",15.65356874,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Thoridae,Spirontocaris,,,,AMBON,15,15
8/20/2017 23:22,7:22:41 AM,69.34476,163.508,BBL.1,,HumanObservation,124324,WoRMS,Strongylocentrotus pallidus,"(Sars G.O., 1872)",28.17642374,count per 1000 m2,present,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,,pallidus,,AMBON,15,15
8/20/2017 23:22,7:22:41 AM,69.34476,163.508,BBL.1,,HumanObservation,254360,WoRMS,Telmessus cheiragonus,"(Tilesius, 1815)",6.261427498,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Cheiragonidae,Telmessus,,cheiragonus,,AMBON,15,15
8/22/2017 8:32,4:32:05 PM,70.19445,167.3625,BBL.10,,HumanObservation,1360,WoRMS,Actiniaria,,3.66438229,count per 1000 m2,present,Cnidaria,Anthozoa,Actiniaria,,,,,,AMBON,51,51
8/22/2017 8:32,4:32:05 PM,70.19445,167.3625,BBL.10,,HumanObservation,138969,WoRMS,Admete viridula,"(Fabricius, 1780)",1.832191145,count per 1000 m2,present,Mollusca,Gastropoda,Neogastropoda,Cancellariidae,Admete,,viridula,,AMBON,51,51
8/22/2017 8:32,4:32:05 PM,70.19445,167.3625,BBL.10,,HumanObservation,159928,WoRMS,Amicula vestita,"(Broderip & G. B. Sowerby I, 1829)",1.832191145,count per 1000 m2,present,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Amicula,,vestita,,AMBON,51,51
8/22/2017 8:32,4:32:05 PM,70.19445,167.3625,BBL.10,,HumanObservation,107006,WoRMS,Argis,"Krøyer, 1843",36.6438229,count per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Crangonidae,Argis,,,,AMBON,51,51
8/22/2017 8:32,4:32:05 PM,70.19445,167.3625,BBL.10,,HumanObservation,103814,WoRMS,Boltenia echinata,"(Linnaeus, 1767)",20.15410259,count per 1000 m2,present,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Boltenia,,echinata,,AMBON,51,51
