taxon,species2015,species2017
Lumbrineridae,Lumbrineridae,
Maldanidae,,Maldanidae
Ophelina,,Ophelina
Arcteobia anticostiensis,Arcteobia anticostiensis,Arcteobia anticostiensis
Arctonoe fragilis,,Arctonoe fragilis
Arctonoe vittata,Arctonoe vittata,Arctonoe vittata
other.unid,,Arctonoe
Bylgides promamme,Bylgides promamme,Bylgides promamme
Bylgides sarsi,Bylgides sarsi,Bylgides sarsi
Enipo canadensis,,Enipo canadensis
Enipo chuckchi,Enipo chuckchi,Enipo chuckchi
Enipo gracilis,Enipo gracilis,
Enipo torelli,Enipo torelli,
Eteone spetsbergensis,Eteone spetsbergensis,
Eunoe depressa,Eunoe depressa,Eunoe depressa
Eunoe nodosa,Eunoe nodosa,Eunoe nodosa
Eunoe oerstedi,Eunoe oerstedi,
Eunoe uniseriata,,Eunoe uniseriata
other.unid,Eunoe sp.,Eunoe
Eusyllis blomstrandi,,Eusyllis blomstrandi
Gattyana amondseni,Gattyana amondseni,Gattyana amondseni
Gattyana ciliata,Gattyana ciliata,Gattyana ciliata
Gattyana cirrhosa,Gattyana cirrhosa,Gattyana cirrhosa
other.unid,Gattyana sp.,Gattyana
Gaudichaudius iphionelloides,Gaudichaudius iphionelloides,
Harmothoe,Harmothoe extenuata,Harmothoe extenuata
Harmothoe,Harmothoe imbricata,Harmothoe imbricata
Harmothoe,Harmothoe sp.,Harmothoe
Melaenis loveni,Melaenis loveni,
Nemidia microlepida,Nemidia microlepida,
Nephtys,Nephtys longosetosa,Nephtys
Nephtys,Nephtys sp.,
Nereis,,Nereis pelagica
Nereis,Nereis zonata,Nereis zonata
Nereis,Nereis sp.,
other.unid,Polynoidae ,Polynoidae
Phyllodoce groenlandica,Phyllodoce groenlandica,Phyllodoce groenlandica
Phyllodocidae,Phyllodocidae,
Syllis armillaris,Syllis armillaris,
other.unid,,Polychaeta
Spinther oniscoides,,Spinther oniscoides
Chone magna,,Chone magna
other.unid,,Sabellidae
Potamilla,,Potamilla
Ampharete,,Ampharete
Bradabyssa villosa,,Bradabyssa villosa
Flabelligera mastigophora,Flabelligera mastigophora,Flabelligera mastigophora
Terebellides stroemii,,Terebellides stroemii
Thelepus cincinnatus,,Thelepus cincinnatus
other.unid,,Terebellidae
Acanthonotozoma gurjanovae,,Acanthonotozoma gurjanovae
Acanthonotozoma inflatum,Acanthonotozoma inflatum,Acanthonotozoma inflatum
Acanthonotozoma rusanovae,Acanthonotozoma rusanovae,
other.unid,Acanthonotozoma sp.,
Acanthostepheia behringiensis,Acanthostepheia behringiensis,Acanthostepheia behringiensis
Anonyx,Anonyx cf lilljeborgi,
Anonyx,Anonyx nugax,
Anonyx,Anonyx sp.,Anonyx
Arctolembos arcticus,Arctolembos arcticus,Arctolembos arcticus
Arrhis luthkei,Arrhis luthkei,Arrhis luthkei
Atylus bruggeni,Atylus bruggeni,Atylus bruggeni
Bathymedon,,Bathymedon
Caprellidae,Caprella,
Caprellidae,,Caprellidae
Ceradocus cf C. torelli,Ceradocus cf C. torelli,
Ericthonius,Ericthonius sp.,Ericthonius
Ericthonius,,Ericthonius difformis
Eusirus,Eusirus cuspidatus,Eusirus cuspidatus
Eusirus,,Eusirus
Halirages nilssoni,Halirages nilssoni,Halirages nilssoni
Haploops laevis,Haploops laevis,Haploops laevis
Hippomedon,Hippomedon sp.,
Ischyrocerus latipes,Ischyrocerus latipes,
Lepidepecreum eoum,,Lepidepecreum eoum
Maera danae,Maera danae,
Megamoera dentata,,Megamoera dentata
Megamoera dentata,Melita dentata,
Melita,Melita sp. ,Melita
Melphidippa,Melphidippa sp.,
Metopa spitzbergensis,Metopa spitzbergensis,
Monoculodes diamesus,Monoculodes diamesus,Monoculodes diamesus
Onisimus,,Onisimus
Orchomene,Orchomene pinguis,
Orchomene,Orchomene sp. ,
Gammaridae,Gammaridae,
Paramphithoe polyacantha,Paramphithoe polyacantha,Paramphithoe polyacantha
Paratryphosites abyssi,,Paratryphosites abyssi
Paroediceros lynceus,Paroediceros lynceus,Paroediceros lynceus
Photis,Photis sp. ,
Pleustes panopla,Pleustes panopla,Pleustes (Pleustes) panoplus
Pontoporeia femorata,Pontoporeia femorata,
Protomedeia grandimana,Protomedeia grandimana,
Quasimelita formosa,Quasimelita formosa,Quasimelita formosa
Rhachotropis aculeata,Rhachotropis aculeata,Rhachotropis aculeata
Rhachotropis oculata,Rhachotropis oculata,Rhachotropis oculata
other.unid,,Rhachotropis
Rozinante fragilis,Rozinante fragilis,
Socarnes bidenticulatus,Socarnes bidenticulatus,Socarnes bidenticulatus
Stegocephalidae,Stegocephalidae,Stegocephalidae
Stegocephalidae,Stegocephalus sp.,
Syrrhoe crenulata,Syrrhoe crenulata,
Unciola leucopsis,Unciola leucopsis,
other.unid,Amphipoda,Amphipoda
Diastylis alaskensis,Diastylis alaskensis,Diastylis alaskensis
Diastylis scorpioides,,Diastylis scorpioides
Diastylis,Diastylis sp.,
Argis,Argis sp.,Argis
Chionoecetes opilio,Chionoecetes opilio,Chionoecetes opilio
Crangon,,Crangon
Crangon,Crangon dalli,Crangon dalli
Eualus fabricii,Eualus fabricii,Eualus fabricii
Eualus gaimardii,,Eualus belcheri
Eualus gaimardii,Eualus gaimardii belcheri,Eualus gaimardii
Eualus gaimardii,Eualus gaimardii gaimardii,
Eualus macilentus,Eualus macilentus,Eualus macilentus
other.unid,Eualus sp. ,Eualus
Hyas coarctatus,Hyas coarctatus,Hyas coarctatus
Labidochirus splendescens,Labidochirus splendescens,Labidochirus splendescens
Lebbeus groenlandicus,Lebbeus groenlandicus,Lebbeus groenlandicus
Lebbeus polaris,Lebbeus polaris,Lebbeus polaris
Neocrangon communis,Neocrangon communis,Neocrangon communis
Pagurus capillatus,Pagurus capillatus,Pagurus capillatus
Pagurus rathbuni,Pagurus rathbuni,Pagurus rathbuni
Pagurus trigonocheirus,Pagurus trigonocheirus,Pagurus trigonocheirus
Pagurus,Pagurus sp.,Pagurus
Pandalus borealis,Pandalus borealis,
Pandalus goniurus,Pandalus goniurus,Pandalus goniurus
Paralithodes platypus,,Paralithodes platypus
Sabinea septemcarinata,Sabinea septemcarinata,Sabinea septemcarinata
Sclerocrangon,Sclerocrangon boreas,Sclerocrangon boreas
Sclerocrangon,,Sclerocrangon ferox
Sclerocrangon,,Sclerocrangon
Spirontocaris,Spirontocaris sp.,Spirontocaris
Telmessus cheiragonus,Telmessus cheiragonus,Telmessus cheiragonus
Synidotea bicuspida,Synidotea bicuspida,Synidotea bicuspida
Synidotea,Synidotea sp.,Synidotea
Tecticeps,Tecticeps sp,Tecticeps
Nymphon grossipes,,Nymphon grossipes
Pycnogonidae,Pycnogonidae,Pycnogonida
Brachiopoda,Brachiopoda,Brachiopoda
other.unid,Ascidiacea,Ascidiacea
Ascidia callosa,Ascidia callosa,Ascidia callosa
Chelyosoma macleayanum,Chelyosoma macleayanum,Chelyosoma macleayanum
Chelyosoma macleayanum,Chelyosoma sp.,
Boltenia echinata,Boltenia echinata,Boltenia echinata
Boltenia ovifera,Boltenia ovifera,Boltenia ovifera
Dendrodoa lineata,Dendrodoa lineata,Dendrodoa lineata
Eugyra,Eugyra sp. ,
Halocynthia aurantium,Halocynthia aurantium,Halocynthia aurantium
Molgula retortiformis ,Molgula retortiformis ,Molgula retortiformis
