TSN,scientificName,lifeStage,vernacularName,Taxon,Taxon.fine
171556,Acantholumpenus mackayi,,pighead prickleback,other,Acantholumpenus mackayi
,Agonidae,Juvenile,,Juvenile,Juvenile
171672,Ammodytes hexapterus,,Arctic sandlance,Ammodytes hexapterus,Ammodytes hexapterus
171620,Anisarchus medius,,stout eelblenny,Anisarchus medius,Anisarchus medius
167206,Artediellus scaber,,hamecon,Artediellus scaber,Artediellus scaber
167439,Aspidophoroides monopterygius,,Alligatorfish,Aspidophoroides sp.,Aspidophoroides sp.
643658,Aspidophoroides olrikii,,veteran poacher,Aspidophoroides sp.,Aspidophoroides sp.
,Aspidophoroides sp.,,,Aspidophoroides sp.,Aspidophoroides sp.
164706,Boreogadus saida,,Arctic cod,Boreogadus saida,Boreogadus saida
172876,Hippoglossoides robustus,,Bering flounder,Hippoglossoides robustus,Hippoglossoides robustus
,c.f. Hippoglossoides robustus,,,Hippoglossoides robustus,Hippoglossoides robustus
171570,Chirolophis snyderi,,bearded warbonnet,Chirolophis snyderi,Chirolophis snyderi
,Cottidae,Juvenile,,Juvenile,Juvenile
164708,Eleginus gracilis,,saffron cod,Eleginus gracilis,Eleginus gracilis
164708,Enophrys diceraus,,,Enophrys diceraus,Enophrys diceraus
171601,Eumesogrammus praecisus,,fourline snakeblenny,Eumesogrammus praecisus,Eumesogrammus praecisus
167418,Eurymen gyrinus ,,smoothcheek sculpin,other,Eurymen gyrinus 
,Gadidae,Juvenile,,Juvenile,Juvenile
934083,Gadus chalcogrammus,,walleye pollock,other,Gadus chalcogrammus
631026,Gymnelus hemifasciatus,,halfbarred pout,Gymnelus hemifasciatus,Gymnelus hemifasciatus
,Gymnelus sp.,,,other,other
631028,Gymnelus viridis,,fish doctor,Gymnelus viridis,Gymnelus viridis
167275,Gymnocanthus tricuspis,,Arctic staghorn sculpin,Gymnocanthus tricuspis,Gymnocanthus tricuspis
167282,Melletes papilio,,butterfly sculpin,Melletes papilio,Melletes papilio
167113,Hexagrammos stelleri,,whitespotted greenling,other,Hexagrammos stelleri
172876,Hippoglossoides robustus,,Bering flounder,Hippoglossoides robustus,Hippoglossoides robustus
167452,Hypsagonus quadricornis,,fourhorn poacher,other,Hypsagonus quadricornis
167192,Icelus spatula,,spatulate sculpin,Icelus spatula,Icelus spatula
171603,Leptoclinus maculatus,,daubed shanny,Leptoclinus maculatus,Leptoclinus maculatus
172907,Limanda aspera,,yellowfin sole,Limanda sp.,Limanda aspera
172911,Limanda proboscidea,,longhead dab,Limanda sp.,Limanda proboscidea
616064,Limanda sakhalinensis,,Sakhalin sole,Limanda sp.,Limanda sakhalinensis
,c.f. Limanda sakhalinensis,,,Limanda sp.,Limanda sakhalinensis
,Limanda sp.,,,Limanda sp.,other
,Liparidae,Juvenile,,Liparidae,Juvenile
167561,Liparis gibbus,,variegated snailfish,Liparidae,Liparis gibbus
,Liparis sp.,,,Liparidae,other
167579,Liparis tunicatus,,kelp snailfish,Liparidae,Liparis tunicatus
631020,Lumpenus fabricii,,slender eelblenny,Lumpenus fabricii,Lumpenus fabricii
631151,Lycodes marisalbi,,white sea eelpout,Lycodes sp.,Lycodes marisalbi
165264,Lycodes mucosus,,saddled eelpout,Lycodes sp.,Lycodes mucosus
165265,Lycodes palearis,,wattled eelpout,Lycodes sp.,Lycodes palearis
165266,Lycodes polaris,,Canadian eelpout,Lycodes sp.,Lycodes polaris
165267,Lycodes raridens,,marbled eelpout,Lycodes sp.,Lycodes raridens
,Lycodes sp.,,,Lycodes sp.,other
162035,Mallotus villosus,,capelin,Mallotus villosus,Mallotus villosus
167312,Myoxocephalus jaok,,plain sculpin,Myoxocephalus jaok,Myoxocephalus jaok
167318,Myoxocephalus scorpius,,shorthorn sculpin,Myoxocephalus scorpius,Myoxocephalus scorpius
167330,Nautichthys pribilovius,,eyeshade sculpin,Nautichthys pribilovius,Nautichthys pribilovius
162041,Osmerus mordax,,rainbow smelt,other,Osmerus mordax
167462,Pallasina barbata,,tubenose poacher,other,Pallasina barbata
,Pleuronectidae,Juvenile,,Juvenile,Juvenile
644358,Podothecus accipenserinus,,sturgeon poacher,Podothecus sp.,Podothecus accipenserinus
644362,Podothecus veternus,,veteran poacher,Podothecus sp.,Podothecus veternus
,Stichaeidae,Juvenile,,Juvenile,Juvenile
171596,Stichaeus punctatus,,Arctic shanny,Stichaeus punctatus,Stichaeus punctatus
,Stichaiedae,Juvenile,,Juvenile,Juvenile
,"Teleost, unidentified",,,Juvenile,other
644642,Trichocottus brashnikovi,,bullhorn sculpin,Trichocottus brashnikovi,Trichocottus brashnikovi
644643,Triglops pingelii,,ribbed sculpin,Triglops pingelii,Triglops pingelii
