Cruise,locationID,samplingProtocol,Haul,scientificName,LengthClass10mm,TotalLength,Weight,Count
AMBON15,CL2,Bongo,10,Teleost,,5,,1
AMBON15,CL3,Bongo,9,Pleuronectidae,,23,,1
AMBON15,DBO3.5,Bongo,4,Liparis sp.,,29,,1
AMBON15,DBO3.6,Bongo,3,Ammodytes hexapterus,,43,,1
AMBON15,DBO3.6,Bongo,3,Liparis sp.,,22,,1
AMBON15,DBO3.6,Bongo,3,Liparis sp.,,23,,1
AMBON15,DBO3.6,Bongo,3,Pleuronectidae,,26,,1
AMBON15,DBO3.6,Bongo,3,Pleuronectidae,,23,,1
AMBON15,DBO3.6,Bongo,3,Pleuronectidae,,15,,1
AMBON15,DBO3.6,Bongo,3,Pleuronectidae,,14,,1
AMBON15,DBO3.6,Bongo,3,Pleuronectidae,,14,,1
AMBON15,DBO3.6,Bongo,3,Pleuronectidae,,15,,1
AMBON15,DBO3.7,Bongo,2,Liparis sp.,,22,,1
AMBON15,DBO3.7,Bongo,2,Liparis sp.,,17,,1
AMBON15,DBO3.7,Bongo,2,Liparis sp.,,12,,1
AMBON15,DBO3.8,Bongo,1,Pleuronectidae,,26,,1
AMBON15,DBO3.8,Bongo,1,Pleuronectidae,,23,,1
AMBON15,ML1.11,Bongo,58,Aspidophoroides olrikii,,36,,1
AMBON15,ML1.11,Bongo,58,Aspidophoroides olrikii,,39,,1
AMBON15,ML1.11,Bongo,58,Stichaeidae,,56,,1
AMBON15,ML1.11,Bongo,58,Stichaeidae,,57,,1
AMBON15,ML1.12,Bongo,57,Ammodytes hexapterus,,31,,1
AMBON15,ML1.13,Bongo,56,Ammodytes hexapterus,,27,,1
AMBON15,ML1.5,Bongo,64,Ammodytes hexapterus,,44,,1
AMBON15,ML1.5,Bongo,64,Boreogadus saida,,20,,1
AMBON15,ML1.7,Bongo,62,Ammodytes hexapterus,,30,,1
AMBON15,ML1.7,Bongo,62,Ammodytes hexapterus,,49,,1
AMBON15,ML1.7,Bongo,62,Ammodytes hexapterus,,45,,1
AMBON15,ML1.7,Bongo,62,Ammodytes hexapterus,,32,,1
AMBON15,ML1.7,Bongo,62,Ammodytes hexapterus,,32,,1
AMBON15,ML1.7,Bongo,62,Ammodytes hexapterus,,36,,1
AMBON15,ML1.7,Bongo,62,Ammodytes hexapterus,,39,,1
AMBON15,ML1.7,Bongo,62,Ammodytes hexapterus,,38,,1
AMBON15,ML1.7,Bongo,62,Ammodytes hexapterus,,54,,1
AMBON15,ML1.7,Bongo,62,Ammodytes hexapterus,,59,,1
AMBON15,ML1.7,Bongo,62,Ammodytes hexapterus,,32,,1
AMBON15,ML1.7,Bongo,62,Boreogadus saida,,66,,1
AMBON15,ML1.7,Bongo,62,Boreogadus saida,,40,,1
AMBON15,ML1.7,Bongo,70,Lumpenus fabricii,,64,,1
AMBON15,ML1.7,Bongo,70,Lumpenus fabricii,,61,,1
AMBON15,ML3.1,Bongo,47,Eleginus gracilis,,23,,1
