station,date,latitude,longitude,depth,BT,Bsal,NH4,phosphate,nitrite.ate,silicate,chla,int.chla,sed.chla,delO18,abundance,biomass,Carbon,richness,SW.div,SW.even,n.grab,phi.0,phi.1,phi.2,phi.3,phi.4,sand,phi.5,sed.mode,TOC,TON,C.N.ratio,delC13,delN15
 BC2,  Aug 10 2015,70.925,-159.943,53,4.07,31.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 DBO3.8,  Aug 12 2015,67.667,-168.955,44,3.82,32.75,3.49,2.03,17,39.86,1.16,221.52,16.42,-0.570550086,13603,3974.87,135.2426,38,1.84,0.51,4,0.13,0.1,0.14,0.91,24.06,25.22,74.65,5,1.08,0.17,6.23,-21.2,7.8
 DBO3.7,  Aug 12 2015,67.784,-168.605,43,3.92,32.69,3.82,2.17,16.29,44.13,1.82,342.97,21.82,-1.225913514,13070,1613.09,60.33557,32,1.25,0.36,4,0,0.03,0.07,0.45,8.32,8.88,91.12,5,1.14,0.18,6.35,-21.3,7.3
 DBO3.6,  Aug 12 2015,67.897,-168.237,54,4.19,32.6,4.36,1.95,12.79,44.84,1.9,258.05,17.38,-0.391172596,10193,938.58,41.87217,28,1.31,0.39,4,0,0.03,1.9,17.22,10.74,29.89,70.11,5,1.04,0.16,6.41,-21.5,7.2
 DBO3.5,  Aug 12 2015,68.012,-167.866,47,4.68,32.26,3.94,1.69,6.06,34.16,1.55,39.19,15.61,-1.008400652,4380,362.99,14.70577,46,2.59,0.68,4,0.24,0.56,8.78,57.19,7.06,73.59,26.17,3,0.4,0.06,6.24,-21.3,6.9
 DBO3.4,  Aug 12 2015,68.125,-167.498,45,5.87,32.03,2.11,0.84,1.69,15.3,0.93,36.16,7.92,-0.77958842,2910,433.1,29.78014,45,3.34,0.88,1,36.85,6.53,11.06,18.75,7.34,43.69,19.47,0,0.37,0.06,5.93,-21.9,7.3
 DBO3.3,  Aug 13 2015,68.186,-167.307,41,7.37,31.9,1.69,0.57,0.44,11.39,1.1,51.35,5.08,-0.446257022,3620,377.15,17.52198,51,3.31,0.84,1,33.05,4.19,5.15,16.63,13.35,39.33,27.62,0,0.59,0.09,6.87,-22.4,7.3
 DBO3.2,  Aug 13 2015,68.243,-167.124,36,7.64,31.72,1.45,0.61,0.65,10.68,0.91,28.62,8,-1.416127854,2410,106.15,4.35863,48,3.3,0.85,1,61.31,3,3.34,7.2,10.58,24.11,14.58,0,0.49,0.07,6.75,-22.9,6.8
 DBO3.1,  Aug 13 2015,68.299,-166.936,27,8.47,31.19,0.96,0.57,1.13,9.96,0.96,28.57,2.88,-1.846519261,50,99.8,3.52131,5,1.61,1,1,90.52,2.07,1.29,1.85,1.61,6.83,2.66,0,0.4,0.06,6.58,-23.1,6.4
 CL0,  Aug 13 2015,68.899,-166.423,23,9.81,30.19,0.44,0.59,0.24,9.25,2.13,32.49,5.56,-3.559755341,450,137.23,4.89,22,2.93,0.95,1,74.06,1.29,1.48,3.21,4.57,10.55,15.39,0,0.99,0.11,9.27,-23.7,7.3
