Cruise,Station No,Station Name,No of Grab,Latitude,Longitude,Date and Time,Gear Code,Gear Size,Depth,Abundance,Wet Weight,Carbon Biomass,Taxon Code,Species
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,0.012,0.00088,480101030100B,ARCTEOBIA ANTICOSTIENISIS             
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,0.016,0.00117,480101081400B,HARMOTHOE VIRIDIS                     
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,30,0.019,0.00131,480105010100B,PHOLOE MINUTA                         
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,40,0.082,0.00566,480122160000B,SYNMEROSYLLIS SP.                     
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,1.339,0.09239,480123040000B,NEREIS SP.                            
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,0.002,0.00014,480127010300B,GLYCINDE ARMIGERA                     
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,20,0.009,0.00055,480139030100B,SCOLOPLOS ARMIGER                     
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,20,0.001,0.00007,480149000000B,CIRRATULIDAE                          
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,30,0.002,0.00014,480158060100B,BARANTOLLA AMERICANA                  
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,20,0.825,0.05198,490305010300B,AMICULA VESTITA                       
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,0.373,0.01044,490407041200B,MUSCULUS OLIVACEUS                    
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,0.013,0.00036,490412010500B,CYCLOCARDIA CRASSIDENS                
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,0.029,0.00081,490418010400B,KURTIELLA PLANATA [MYSELLA PLANATA]   
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,1.811,0.11228,490518010100X,TACHYRYNCHUS EROSUS (X)               
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,0.053,0.00329,490540010000X,ADMETE SP (X)                         
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,0.045,0.00333,533100000000F,AMPHIPODA FRAGMENT                    
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,0.002,0.00014,533126020000B,PHOTIS SP.                            
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,20,0.008,0.00059,533142030000B,HETEROPHOXUS SP.                      
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,0.016,0.00118,533143040000B,PLEUSTES SP.                          
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,0.0001,0.00001,533148000000B,STENOTHOIDAE                          
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,30,0.165,0.01221,533154100500B,MELITA ALASKENSIS                     
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,0.006,0.00027,590101010200B,GOLFINGIA VULGARIS                    
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,4.155,0.04155,660000000000F,BRYOZOA FRAGMENT                      
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,10,0.028,0.00059,670000000000B,BRACHIOPODA                           
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,40,0.08,0.00112,680309061100B,OPHIURA SARSI                         
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,50,101.109,4.14547,720303020000B,BOLTENIA SP.                          
AMB15,10,CL0   ,1,68.899,-166.423,20150813,VV,0.1,29,30,28.896,0.40454,720305010500B,CHELYOSOMA ORIENTALE                  
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,10,0.109,0.00752,480100000000F,POLYCHAETA FRAGMENT                   
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.001,0.00007,480105010100B,PHOLOE MINUTA                         
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.69,0.04968,480124010000B,NEPHTYS SP.                           
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,20,1.069,0.07697,480124010300B,NEPHTYS CAECA                         
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.006,0.00041,480125010400B,SPHAERODOIDIUM GUERRITAI              
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.026,0.00179,480127010000F,GLYCINDE SP. FRAGMENT                 
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,20,0.043,0.00297,480127010300B,GLYCINDE ARMIGERA                     
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,5,0.014,0.00085,480139030100B,SCOLOPLOS ARMIGER                     
AMB15,12,CL1   ,2,68.948,-166.908,20150813,VV,0.1,44,10,0.013,0.0009,480140020600B,ARICIDEA LOPEZI                       
