Cruise,Station No,Station Name,No of Grab,Latitude,Longitude,Date and Time,Gear Code,Gear Size,Depth,Abundance,Wet Weight,Carbon Biomass,Taxon Code,Species
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,10,0.149,0.01028,480100000000F,POLYCHAETA FRAGMENT                   
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,50,0.39,0.02847,480101000000B,POLYNOIDAE                            
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,80,0.103,0.00711,480105010100B,PHOLOE MINUTA                         
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,20,0.033,0.00287,480112010600B,PHYLLODOCE MACULATA                   
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,60,1.802,0.12974,48012401000JB,NEPHTYS JUVENILE                      
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,20,0.042,0.0029,480127010300B,GLYCINDE ARMIGERA                     
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,10,6.125,0.56963,480130010000B,SCOLETOMA [LUMBRINERIS] SP.           
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,20,0.84,0.05124,480139030100B,SCOLOPLOS ARMIGER                     
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,20,0.044,0.00268,480139030200B,LEITOSCOLOPLOS PUGETTENSIS            
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,110,1.016,0.0701,480149000000B,CIRRATULIDAE                          
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,120,0.795,0.03498,480152010200B,BRADA VILLOSA                         
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,10,1.246,0.11837,480156010100B,OPHELINA ACUMINATA                    
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,50,1.096,0.04494,480157010100B,STERNASPIS SCUTATA                    
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,110,1.155,0.07969,480158060100B,BARANTOLLA AMERICANA                  
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,40,26.301,1.84107,480161030100B,MALDANE SARSI                         
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,10,1.438,0.08772,480166000000B,TEREBELLIDAE                          
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,1310,17.505,0.68269,490402030000B,ENNUCULA TENUIS [N. BELLOTI]          
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,1670,334.588,6.35717,490403020100B,NUCULANA PERNULA                      
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,80,0.317,0.00888,490415030100B,THYASIRA FLEXUOSA                     
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,10,0.013,0.00036,490418010400B,KURTIELLA PLANATA [MYSELLA PLANATA]   
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,10,0.522,0.00783,490420210000B,SERRIPES SP.                          
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,130,0.121,0.00423,490424030000B,MACOMA MOESTA                         
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,10,0.044,0.00123,490428020100B,MYA ARENARIA                          
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,110,0.366,0.0172,490441020100B,YOLDIA HYPERBOREA                     
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,40,0.028,0.00174,490549000000B,CYLICHNIDAE                           
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,30,0.055,0.00407,532804010000B,LEUCON SP.                            
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,30,0.036,0.00266,532804020000B,EUDORELLA SP.                         
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,10,0.087,0.00644,533100000000F,AMPHIPODA FRAGMENT                    
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,10,0.011,0.00075,533102020000B,BYBLIS SP.                            
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,10,0.003,0.0002,533126020000B,PHOTIS SP.                            
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,100,0.265,0.01802,533126030000B,PROTOMEDEIA SP.                       
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,80,0.339,0.02746,533134290000B,ORCHOMENE SP.                         
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,560,0.665,0.04921,533137040000B,ARRHIS SP.                            
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,80,0.056,0.00414,533142100000B,HARPINIA SP.                          
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,20,0.483,0.03912,533157030000B,ANONYX SP.                            
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,220,5.837,0.4728,533157490000B,CENTROMEDON SP.                       
AMB17,9,CL3   ,1,69.033,-168.893,20170808,VV,0.1,53,280,0.415,0.00581,680306010000B,OPHIOPHOLIS SP.                       
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,40,0.67,0.06231,400000000000B,NEMERTEA [RHYNCOCOELA]                
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,10,0.178,0.01228,480100000000F,POLYCHAETA FRAGMENT                   
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,20,0.033,0.00241,480101030100B,ARCTEOBIA ANTICOSTIENISIS             
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,20,0.014,0.00097,480105010100B,PHOLOE MINUTA                         
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,20,0.048,0.00346,48012401000JB,NEPHTYS JUVENILE                      
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,30,0.083,0.00573,480127010300B,GLYCINDE ARMIGERA                     
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,30,0.061,0.00372,480139030200B,LEITOSCOLOPLOS PUGETTENSIS            
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,50,1.071,0.0739,480149000000B,CIRRATULIDAE                          
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,10,0.003,0.00021,480150010000B,COSSURA SP.                           
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,60,0.635,0.04381,480158060100B,BARANTOLLA AMERICANA                  
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,410,32.758,2.29306,480161030100B,MALDANE SARSI                         
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,10,2.669,0.18683,480161090000B,PRAXILLELLA SP.                       
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,20,0.2,0.014,480161100000B,RHODINE SP.                           
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,10,4.761,0.21425,480164020300B,PECTINARIA HYPERBOREA                 
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,20,5.83,0.35563,480166000000B,TEREBELLIDAE                          
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,60,0.031,0.00121,490402030000B,ENNUCULA TENUIS [N. BELLOTI]          
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,10,0.037,0.0007,490403020100B,NUCULANA PERNULA                      
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,50,0.13,0.00364,490415000000B,THYASIRIDAE                           
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,20,0.114,0.00536,490441020100B,YOLDIA HYPERBOREA                     
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,30,0.922,0.02766,490506000000B,TROCHIDAE [SOLARIELLIDAE]             
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,10,0.238,0.01476,490540010000X,ADMETE SP (X)                         
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,20,0.012,0.00074,490549000000B,CYLICHNIDAE                           
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,180,0.212,0.01569,530700000000B,OSTRACODA                             
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,100,0.186,0.01376,532804010100B,LEUCON NASICA                         
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,420,0.391,0.02893,532804020200B,EUDORELLA PACIFICA                    
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,70,0.333,0.02264,533102020000B,BYBLIS SP.                            
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,10,0.011,0.00075,533126030000B,PROTOMEDEIA SP.                       
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,20,0.073,0.00591,533134290000B,ORCHOMENE SP.                         
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,200,0.327,0.0242,533137040000B,ARRHIS SP.                            
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,110,0.113,0.00836,533142100000B,HARPINIA SP.                          
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,20,0.011,0.00081,533148000000B,STENOTHOIDAE                          
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,10,0.139,0.00626,610101020200B,PRIAPULUS CAUDATUS                    
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,20,0.007,0.00008,680204020100B,STRONGYLOCENTROTUS DROEBACHIENSIS     
AMB17,11,CL2   ,1,69.029,-167.934,20170808,VV,0.1,50,260,0.196,0.00274,680306010000B,OPHIOPHOLIS SP.                       
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,10,0.049,0.00338,480100000000F,POLYCHAETA FRAGMENT                   
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,10,0.028,0.00204,480101000000B,POLYNOIDAE                            
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,10,0.004,0.00028,480105010100B,PHOLOE MINUTA                         
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,40,3.267,0.23522,480124010300B,NEPHTYS CAECA                         
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,40,0.104,0.00718,480127010300B,GLYCINDE ARMIGERA                     
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,40,0.185,0.01129,480139030200B,LEITOSCOLOPLOS PUGETTENSIS            
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,10,0.013,0.0009,480140020600B,ARICIDEA LOPEZI                       
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,10,0.004,0.00028,480140040100B,LEVINSENIA GRACILIS                   
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,40,0.586,0.04043,480143010200B,MAGELONA PACIFICA                     
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,140,0.934,0.06445,480149000000B,CIRRATULIDAE                          
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,180,3.531,0.14477,480157010100B,STERNASPIS SCUTATA                    
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,40,0.198,0.01366,480158060100B,BARANTOLLA AMERICANA                  
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,20,0.573,0.04011,480161120200B,CLYMENURA POLARIS                     
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,20,0.01,0.00069,480162020200B,MYRIOCHELE OCULATA                    
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,20,7.333,0.32999,480164020300B,PECTINARIA HYPERBOREA                 
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,290,0.542,0.02114,490402030000B,ENNUCULA TENUIS [N. BELLOTI]          
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,230,24.577,0.46696,490403020100B,NUCULANA PERNULA                      
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,300,0.832,0.0233,490415020100B,AXINOPSIDA SERRICATA                  
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,60,0.727,0.02036,490415030100B,THYASIRA FLEXUOSA                     
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,10,9.758,0.27322,490421040100B,LIOCYMA FLUCTUOSA                     
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,10,0.044,0.00154,490424010000B,MACOMA CALCAREA                       
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,20,0.011,0.00038,490424030000B,MACOMA MOESTA                         
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,10,0.031,0.00087,490428020100B,MYA ARENARIA                          
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,30,0.034,0.0016,490441020100B,YOLDIA HYPERBOREA                     
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,110,1.832,0.05496,490506040300B,SOLARIELLA VARICOSA                   
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,10,0.101,0.00808,490525040200X,EUSPIRA PALLIDA [POLINICES PALLIDA] (X
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,20,0.272,0.01686,490540010000X,ADMETE SP (X)                         
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,30,0.016,0.00099,490549020300B,CYLICHNA ALBA                         
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,10,0.025,0.00155,533120130000B,RHACHOTROPIS SP.                      
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,40,0.026,0.00192,533137040000B,ARRHIS SP.                            
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,70,0.043,0.00318,533142100000B,HARPINIA SP.                          
AMB17,13,CL1   ,1,68.949,-166.907,20170808,VV,0.1,47,20,0.003,0.00022,533148000000B,STENOTHOIDAE                          
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,10,0.061,0.00567,400000000000F,NEMERTEA [RHYNCOCOELA] FRAGMENT       
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,50,0.269,0.01964,480101060300B,GATTYANA CIRRHOSA                     
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,80,0.258,0.01883,480101060700B,GATTYANA NUTTI                        
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,10,0.053,0.00387,480101080000B,HARMOTHOE SP.                         
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,30,0.097,0.00708,480101200100B,BYLGIDES ELEGANS                      
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,30,0.1,0.0073,480101220000B,MALMGRENIA SP.                        
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,50,0.022,0.00152,480105010100B,PHOLOE MINUTA                         
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,10,0.005,0.00043,480112020500B,ETEONE LONGA                          
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,140,0.534,0.03685,480122050000B,TYPOSYLLIS SP.                        
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,110,0.235,0.01622,480127010200B,GLYCINDE WIRENII                      
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,10,0.011,0.00076,480127010300B,GLYCINDE ARMIGERA                     
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,60,5.776,0.53717,480130010000B,SCOLETOMA [LUMBRINERIS] SP.           
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,30,0.122,0.00744,480139030100B,SCOLOPLOS ARMIGER                     
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,30,0.449,0.02739,480139030200B,LEITOSCOLOPLOS PUGETTENSIS            
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,10,0.006,0.00041,480142040000B,POLYDORA SP.                          
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,10,0.003,0.00021,480142050200B,PRIONOSPIO CIRRIFERA                  
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,220,0.115,0.00793,480149000000B,CIRRATULIDAE                          
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,20,0.001,0.00007,480150010000B,COSSURA SP.                           
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,20,0.006,0.00026,480152010200B,BRADA VILLOSA                         
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,10,0.001,0.00007,480158020000B,HETEROMASTUS SP.                      
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,280,0.328,0.02263,480158060100B,BARANTOLLA AMERICANA                  
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,10,0.695,0.04865,480161090200B,PRAXILLELLA PRAETERMISSA              
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,20,0.219,0.01511,480165020800B,AMPHARETE ACUTIFRONS                  
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,20,0.865,0.05277,480166110300B,THELEPUS CINCINNATUS                  
AMB17,14,CL0   ,1,68.899,-166.426,20170808,VV,0.1,32,30,0.889,0.06134,480167010100B,TEREBELLIDES STROEMII                 
