eventDate,decimalLatitude,decimalLongitude,eventID,parenteventID,basisofrecord,minimumDepthinMeters,maximumDepthinMeters,SamplngProtocol,scientificName,nameAccordingToID,nameAccordingTo,TaxonID,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Order,Suborder,Infraorder,Family,Genus,Species,Life Stage Comment,OrganismQuantity,organismQuantityType,,,,,,,,,,Acartia longiremis
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Acartia spp.,https://dx.doi.org/10.14284/170 ,WoRMS,104108,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Neocopepoda,Calanoida,,,Acartiidae,Acartia,,,52.667,count per cubic meter,,,,,,,,,,Acartia longiremis
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Aglantha digitale,https://dx.doi.org/10.14284/170 ,WoRMS,117849,Animalia,Cnidaria,,Hydrozoa,Trachylina,,Narcomedusae,Narcomedusida,,Rhopalonematidae,Aglantha,digitale,,0.329,count per cubic meter,,,,,,,,,,Acartia spp.
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Bivalvia,https://dx.doi.org/10.14284/170 ,WoRMS,105,Animalia,Mollusca,,Bivalvia,,,,,,,,,larvae,1327.211,count per cubic meter,,,,,,,,,,Aeginopsis laurentii
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Brachyura,https://dx.doi.org/10.14284/170 ,WoRMS,106673,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Decapoda,Pleocyemata,Brachyura,,,,zoea,0.988,count per cubic meter,,,,,,,,,,Aglantha digitale
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Calanoida,https://dx.doi.org/10.14284/170 ,WoRMS,1100,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Neocopepoda,Calanoida,,,,,,nauplii,1106.009,count per cubic meter,,,,,,,,,,Amphipoda
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Calanus glacialis,https://dx.doi.org/10.14284/170 ,WoRMS,104465,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Neocopepoda,Calanoida,,,Calanidae,Calanus,glacialis,,42.134,count per cubic meter,,,,,,,,,,Apherusa sp.
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Centropages abdominalis,https://dx.doi.org/10.14284/170 ,WoRMS,196774,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Neocopepoda,Calanoida,,,Centropagidae,Centropages,abdominalis,,10.533,count per cubic meter,,,,,,,,,,Asteroidea
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Cirripedia,https://dx.doi.org/10.14284/170 ,WoRMS,1082,Animalia,Arthropoda,Crustacea,Maxillopoda,Thecostraca,Cirripedia,,,,,,,nauplii,916.407,count per cubic meter,,,,,,,,,,Beroe cucumis
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Cnidaria,https://dx.doi.org/10.14284/170 ,WoRMS,1267,Animalia,Cnidaria,,,,,,,,,,,,52.667,count per cubic meter,,,,,,,,,,Bivalvia
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Cyclopoida,https://dx.doi.org/10.14284/170 ,WoRMS,1101,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Neocopepoda,Cyclopoida,,,,,,nauplii,21.067,count per cubic meter,,,,,,,,,,Brachyura
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Decapoda,https://dx.doi.org/10.14284/170 ,WoRMS,1130,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Decapoda,,,,,,Megalopa ,0.329,count per cubic meter,,,,,,,,,,Bryozoa
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Echinodermata,https://dx.doi.org/10.14284/170 ,WoRMS,1806,Animalia,Echinodermata,,,,,,,,,,,larvae,10.533,count per cubic meter,,,,,,,,,,Calanoida
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Eucalanus bungii,https://dx.doi.org/10.14284/170 ,WoRMS,196775,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Neocopepoda,Calanoida,,,Eucalanidae,Eucalanus,bungii,,84.267,count per cubic meter,,,,,,,,,,Calanus glacialis
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Euphausiacea,https://dx.doi.org/10.14284/170 ,WoRMS,1128,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Euphausiacea,,,,,,juvenile,1.317,count per cubic meter,,,,,,,,,,Calanus hyperboreus
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Fritillaria borealis,https://dx.doi.org/10.14284/170 ,WoRMS,103375,Animalia,Chordata,Tunicata,Appendicularia ,,,Copelata,,,Fritillaridae,Fritillaria,borealis,,326.536,count per cubic meter,,,,,,,,,,Candacia spp.
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Gastropoda,https://dx.doi.org/10.14284/170 ,WoRMS,101,Animalia,Mollusca,,Gastropoda,,,,,,,,,,115.868,count per cubic meter,,,,,,,,,,Catablema vesicarium
