eventDate,decimalLatitude,decimalLongitude,eventID,parenteventID,basisofrecord,minimumDepthinMeters,maximumDepthinMeters,SamplngProtocol,scientificName,nameAccordingToID,nameAccordingTo,TaxonID,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Order,Suborder,Infraorder,Family,Genus,Species,Life Stage Comment,organismQuantityType,Biomass (mg DW/m3),,,,,,,,,,Acartia longiremis
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Acartia spp.,https://dx.doi.org/10.14284/170 ,WoRMS,104108,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Neocopepoda,Calanoida,,,Acartiidae,Acartia,,,mgdryweight/m3,0.0582,,,,,,,,,,Acartia longiremis
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Aglantha digitale,https://dx.doi.org/10.14284/170 ,WoRMS,117849,Animalia,Cnidaria,,Hydrozoa,Trachylina,,Narcomedusae,Narcomedusida,,Rhopalonematidae,Aglantha,digitale,,mgdryweight/m3,1.8847,,,,,,,,,,Acartia spp.
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Bivalvia,https://dx.doi.org/10.14284/170 ,WoRMS,105,Animalia,Mollusca,,Bivalvia,,,,,,,,,larvae,mgdryweight/m3,60.3302,,,,,,,,,,Aeginopsis laurentii
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Brachyura,https://dx.doi.org/10.14284/170 ,WoRMS,106673,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,,Decapoda,Pleocyemata,Brachyura,,,,zoea,mgdryweight/m3,0.2442,,,,,,,,,,Aglantha digitale
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Calanoida,https://dx.doi.org/10.14284/170 ,WoRMS,1100,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Neocopepoda,Calanoida,,,,,,nauplii,mgdryweight/m3,0.5526,,,,,,,,,,Amphipoda
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Calanus glacialis,https://dx.doi.org/10.14284/170 ,WoRMS,104465,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Neocopepoda,Calanoida,,,Calanidae,Calanus,glacialis,,mgdryweight/m3,13.0983,,,,,,,,,,Apherusa sp.
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Centropages abdominalis,https://dx.doi.org/10.14284/170 ,WoRMS,196774,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Neocopepoda,Calanoida,,,Centropagidae,Centropages,abdominalis,,mgdryweight/m3,0.2058,,,,,,,,,,Asteroidea
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Cirripedia,https://dx.doi.org/10.14284/170 ,WoRMS,1082,Animalia,Arthropoda,Crustacea,Maxillopoda,Thecostraca,Cirripedia,,,,,,,nauplii,mgdryweight/m3,7.5826,,,,,,,,,,Beroe cucumis
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Cnidaria,https://dx.doi.org/10.14284/170 ,WoRMS,1267,Animalia,Cnidaria,,,,,,,,,,,,mgdryweight/m3,0.0401,,,,,,,,,,Bivalvia
8/11/2015 21:20,67.67231,-168.9545,DBO3.8,AMBON,PreservedSpecimen,0,42,Twin-ring; 60 cm diameter; mesh 150,Cyclopoida,https://dx.doi.org/10.14284/170 ,WoRMS,1101,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Neocopepoda,Cyclopoida,,,,,,nauplii,mgdryweight/m3,0.001,,,,,,,,,,Brachyura
