,eventID,eventDate,verbatimDepth,decimalLatitude,decimalLongitude,basisOfRecord
0,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,12,69.3443,-163.5095,HumanObservation
24,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,2017-08-17T15:24:00,13,70.0357,-162.766,HumanObservation
58,AMBON_Zooplankton_2017_ML3.1_2017-08-17T06:18:00,2017-08-17T06:18:00,16,70.495,-160.6218,HumanObservation
99,AMBON_Zooplankton_2017_ML1.2_2017-08-17T17:42:00,2017-08-17T17:42:00,20,70.1388,-163.0542,HumanObservation
134,AMBON_Zooplankton_2017_BBL2_2017-08-21T01:22:00,2017-08-21T01:22:00,20,69.4504,-163.9212,HumanObservation
171,AMBON_Zooplankton_2017_BBL3_2017-08-21T04:08:00,2017-08-21T04:08:00,24,69.5484,-164.4218,HumanObservation
211,AMBON_Zooplankton_2017_ML3.2_2017-08-17T03:35:00,2017-08-17T03:35:00,26,70.5777,-160.8351,HumanObservation
254,AMBON_Zooplankton_2017_ML4.1_2017-08-12T11:00:00,2017-08-12T11:00:00,27,70.8908,-159.3972,HumanObservation
291,AMBON_Zooplankton_2017_CL0_2017-08-08T15:46:00,2017-08-08T15:46:00,29,68.8984,-166.4237,HumanObservation
327,AMBON_Zooplankton_2017_ML6.2_2017-08-09T13:34:00,2017-08-09T13:34:00,29,70.2664,-163.4098,HumanObservation
354,AMBON_Zooplankton_2017_ML1.3_2017-08-17T20:32:00,2017-08-17T20:32:00,29,70.2668,-163.4071,HumanObservation
389,AMBON_Zooplankton_2017_BBL4_2017-08-21T08:30:00,2017-08-21T08:30:00,29,69.6413,-164.81099999999998,HumanObservation
423,AMBON_Zooplankton_2017_ML6.1_2017-08-09T09:12:00,2017-08-09T09:12:00,30,70.0873,-163.9609,HumanObservation
455,AMBON_Zooplankton_2017_ML6.3_2017-08-09T17:45:00,2017-08-09T17:45:00,30,70.3891,-163.0234,HumanObservation
488,AMBON_Zooplankton_2017_DBO3.1_2017-08-07T17:25:00,2017-08-07T17:25:00,32,68.2993,-166.9332,HumanObservation
535,AMBON_Zooplankton_2017_ML5.4_2017-08-20T01:09:00,2017-08-20T01:09:00,33,71.0225,-164.8768,HumanObservation
574,AMBON_Zooplankton_2017_BBL5_2017-08-21T11:44:00,2017-08-21T11:44:00,33,69.7319,-165.2142,HumanObservation
615,AMBON_Zooplankton_2017_ML6.4_2017-08-09T21:00:00,2017-08-09T21:00:00,34,70.5097,-162.6442,HumanObservation
653,AMBON_Zooplankton_2017_ML1.4_2017-08-17T22:44:00,2017-08-17T22:44:00,34,70.3978,-163.765,HumanObservation
689,AMBON_Zooplankton_2017_ML6.5_2017-08-10T00:41:00,2017-08-10T00:41:00,38,70.6267,-162.2508,HumanObservation
726,AMBON_Zooplankton_2017_ML4.11_2017-08-13T14:54:00,2017-08-13T14:54:00,38,72.1088,-162.9294,HumanObservation
771,AMBON_Zooplankton_2017_ML4.12_2017-08-13T18:56:00,2017-08-13T18:56:00,38,72.2397,-163.3123,HumanObservation
810,AMBON_Zooplankton_2017_ML3.12_2017-08-15T19:18:00,2017-08-15T19:18:00,38,71.8718,-164.5617,HumanObservation
839,AMBON_Zooplankton_2017_ML1.7_2017-08-18T08:46:00,2017-08-18T08:46:00,38,70.7731,-164.8763,HumanObservation
874,AMBON_Zooplankton_2017_BBL6_2017-08-21T14:36:00,2017-08-21T14:36:00,38,69.8214,-165.6285,HumanObservation
913,AMBON_Zooplankton_2017_ML6.6_2017-08-10T03:18:00,2017-08-10T03:18:00,39,70.7258,-161.9405,HumanObservation
953,AMBON_Zooplankton_2017_ML5.2_2017-08-20T06:33:00,2017-08-20T06:33:00,39,70.7718,-165.6274,HumanObservation
995,AMBON_Zooplankton_2017_ML4.9_2017-08-13T08:33:00,2017-08-13T08:33:00,40,71.8517,-162.1542,HumanObservation
1036,AMBON_Zooplankton_2017_ML3.10_2017-08-16T01:28:00,2017-08-16T01:28:00,40,71.6173,-163.7654,HumanObservation
1067,AMBON_Zooplankton_2017_ML1.8_2017-08-18T11:57:00,2017-08-18T11:57:00,40,70.8973,-165.2527,HumanObservation
1110,AMBON_Zooplankton_2017_ML5.5_2017-08-19T21:52:00,2017-08-19T21:52:00,40,71.1468,-164.486,HumanObservation
1140,AMBON_Zooplankton_2017_ML5.1_2017-08-20T09:50:00,2017-08-20T09:50:00,40,70.648,-165.9955,HumanObservation
1167,AMBON_Zooplankton_2017_DBO3.2_2017-08-07T14:22:00,2017-08-07T14:22:00,41,68.2425,-167.1237,HumanObservation
1209,AMBON_Zooplankton_2017_ML3.9_2017-08-16T04:31:00,2017-08-16T04:31:00,41,71.4908,-163.3845,HumanObservation
1247,AMBON_Zooplankton_2017_ML3.3_2017-08-17T00:39:00,2017-08-17T00:39:00,41,70.7143,-161.1789,HumanObservation
1283,AMBON_Zooplankton_2017_ML1.9_2017-08-18T15:43:00,2017-08-18T15:43:00,41,71.0213,-165.635,HumanObservation
1330,AMBON_Zooplankton_2017_ML5.6_2017-08-19T18:42:00,2017-08-19T18:42:00,41,71.1181,-163.806,HumanObservation
1366,AMBON_Zooplankton_2017_ML6.8_2017-08-10T10:14:00,2017-08-10T10:14:00,42,70.9597,-161.1383,HumanObservation
1397,AMBON_Zooplankton_2017_ML4.8_2017-08-13T04:32:00,2017-08-13T04:32:00,42,71.7191,-161.7743,HumanObservation
1433,AMBON_Zooplankton_2017_ML5.10_2017-08-14T22:07:00,2017-08-14T22:07:00,42,71.6026,-162.2024,HumanObservation
1466,AMBON_Zooplankton_2017_ML5.9_2017-08-15T01:08:00,2017-08-15T01:08:00,42,71.4826,-162.6048,HumanObservation
1513,AMBON_Zooplankton_2017_ML1.5_2017-08-18T01:33:00,2017-08-18T01:33:00,42,70.524,-164.1259,HumanObservation
1559,AMBON_Zooplankton_2017_ML1.11_2017-08-18T22:33:00,2017-08-18T22:33:00,42,71.2668,-166.4192,HumanObservation
1598,AMBON_Zooplankton_2017_ML5.7_2017-08-19T15:56:00,2017-08-19T15:56:00,42,71.2412,-163.3977,HumanObservation
1641,AMBON_Zooplankton_2017_BBL7_2017-08-21T21:40:00,2017-08-21T21:40:00,42,69.9168,-166.0563,HumanObservation
1688,AMBON_Zooplankton_2017_ML6.7_2017-08-10T06:22:00,2017-08-10T06:22:00,43,70.8431,-161.539,HumanObservation
1733,AMBON_Zooplankton_2017_ML4.2_2017-08-12T08:54:00,2017-08-12T08:54:00,43,70.9327,-159.5049,HumanObservation
1766,AMBON_Zooplankton_2017_ML3.14_2017-08-15T11:58:00,2017-08-15T11:58:00,43,72.1187,-165.3628,HumanObservation
1794,AMBON_Zooplankton_2017_ML3.4_2017-08-16T22:17:00,2017-08-16T22:17:00,43,70.8434,-161.5376,HumanObservation
1834,AMBON_Zooplankton_2017_CL1_2017-08-08T12:26:00,2017-08-08T12:26:00,44,68.9482,-166.9082,HumanObservation
1884,AMBON_Zooplankton_2017_ML3.8_2017-08-16T07:26:00,2017-08-16T07:26:00,44,71.3615,-163.0025,HumanObservation
1914,AMBON_Zooplankton_2017_ML3.7_2017-08-16T11:26:00,2017-08-16T11:26:00,44,71.232,-162.6257,HumanObservation
1960,AMBON_Zooplankton_2017_ML3.6_2017-08-16T14:36:00,2017-08-16T14:36:00,44,71.1031,-162.2556,HumanObservation
1993,AMBON_Zooplankton_2017_ML3.5_2017-08-16T18:40:00,2017-08-16T18:40:00,44,70.9718,-161.9024,HumanObservation
2039,AMBON_Zooplankton_2017_ML1.6_2017-08-18T04:57:00,2017-08-18T04:57:00,44,70.6468,-164.5024,HumanObservation
2080,AMBON_Zooplankton_2017_ML1.12_2017-08-19T01:25:00,2017-08-19T01:25:00,44,71.3868,-166.8195,HumanObservation
2117,AMBON_Zooplankton_2017_BBL8_2017-08-22T00:42:00,2017-08-22T00:42:00,44,70.0056,-166.4723,HumanObservation
2169,AMBON_Zooplankton_2017_DBO3.8_2017-08-06T18:14:00,2017-08-06T18:14:00,45,67.6664,-168.9541,HumanObservation
2223,AMBON_Zooplankton_2017_DBO3.3_2017-08-07T10:59:00,2017-08-07T10:59:00,45,68.1861,-167.30700000000002,HumanObservation
2261,AMBON_Zooplankton_2017_ML4.7_2017-08-13T01:27:00,2017-08-13T01:27:00,45,71.5887,-161.4001,HumanObservation
2307,AMBON_Zooplankton_2017_BBL9_2017-08-22T03:47:00,2017-08-22T03:47:00,45,70.0967,-166.9094,HumanObservation
2352,AMBON_Zooplankton_2017_ML4.6_2017-08-22T03:47:00,2017-08-22T03:47:00,45,71.4549,-161.0383,HumanObservation
2387,AMBON_Zooplankton_2017_ML1.13_2017-08-22T03:47:00,2017-08-22T03:47:00,46,71.5073,-167.2207,HumanObservation
2424,AMBON_Zooplankton_2017_BBL11_2017-08-22T03:47:00,2017-08-22T03:47:00,46,70.2812,-167.8148,HumanObservation
2463,AMBON_Zooplankton_2017_CL2_2017-08-22T03:47:00,2017-08-22T03:47:00,47,69.0288,-167.9343,HumanObservation
2510,AMBON_Zooplankton_2017_ML4.5_2017-08-22T03:47:00,2017-08-22T03:47:00,47,71.3244,-160.6564,HumanObservation
2561,AMBON_Zooplankton_2017_ML4.14_2017-08-22T03:47:00,2017-08-22T03:47:00,47,72.4964,-164.1022,HumanObservation
2594,AMBON_Zooplankton_2017_DBO3.7_2017-08-22T03:47:00,2017-08-22T03:47:00,48,67.7835,-168.605,HumanObservation
2641,AMBON_Zooplankton_2017_DBO3.4_2017-08-22T03:47:00,2017-08-22T03:47:00,48,68.1245,-167.4978,HumanObservation
2677,AMBON_Zooplankton_2017_BBL10_2017-08-22T03:47:00,2017-08-22T03:47:00,48,70.1925,-167.3646,HumanObservation
2716,AMBON_Zooplankton_2017_CL3_2017-08-22T03:47:00,2017-08-22T03:47:00,50,69.0334,-168.8931,HumanObservation
2761,AMBON_Zooplankton_2017_ML6.9_2017-08-22T03:47:00,2017-08-22T03:47:00,50,71.0712,-160.747,HumanObservation
2799,AMBON_Zooplankton_2017_DBO3.5_2017-08-22T03:47:00,2017-08-22T03:47:00,51,68.0118,-167.8658,HumanObservation
2838,AMBON_Zooplankton_2017_ML4.3_2017-08-22T03:47:00,2017-08-22T03:47:00,55,71.0638,-159.8822,HumanObservation
2881,AMBON_Zooplankton_2017_DBO3.6_2017-08-22T03:47:00,2017-08-22T03:47:00,56,67.89699999999999,-168.2368,HumanObservation
2934,AMBON_Zooplankton_2017_DBO3.6_2017-08-07T01:39:00,2017-08-07T01:39:00,56,67.89699999999999,-168.2368,HumanObservation
2936,AMBON_Zooplankton_2017_ML1.2_2017-08-17T18:22:00,2017-08-17T18:22:00,20,70.1434,-163.0342,HumanObservation
2958,AMBON_Zooplankton_2017_ML1.3_2017-08-17T20:46:00,2017-08-17T20:46:00,29,70.2677,-163.3998,HumanObservation
2973,AMBON_Zooplankton_2017_ML1.4_2017-08-17T23:23:00,2017-08-17T23:23:00,34,70.3973,-163.7713,HumanObservation
2987,AMBON_Zooplankton_2017_ML1.5_2017-08-18T02:23:00,2017-08-18T02:23:00,42,70.5239,-164.1307,HumanObservation
3006,AMBON_Zooplankton_2017_ML1.6_2017-08-18T06:01:00,2017-08-18T06:01:00,44,70.6464,-164.4836,HumanObservation
3028,AMBON_Zooplankton_2017_ML1.7_2017-08-18T09:22:00,2017-08-18T09:22:00,38,70.7709,-164.8769,HumanObservation
3047,AMBON_Zooplankton_2017_ML1.8_2017-08-18T13:03:00,2017-08-18T13:03:00,39,70.8913,-165.2675,HumanObservation
3063,AMBON_Zooplankton_2017_ML1.9_2017-08-18T16:28:00,2017-08-18T16:28:00,41,71.0228,-165.6261,HumanObservation
3082,AMBON_Zooplankton_2017_ML1.10_2017-08-18T20:25:00,2017-08-18T20:25:00,41,71.1387,-166.0423,HumanObservation
