,datasetID,occurrenceID,eventID,eventDate,occurrenceRemarks,decimalLongitude,decimalLatitude,verbatimDepth,scientificName,lifeStage,taxonID,scientificNameID,nomenclaturalCode,basisOfRecord,measurementType,measurementValue
0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_4978,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Pisces,larvae,11676,urn:lsid:marinespecies.org:taxname:11676,WoRMS,HumanObservation,Abundance_[#/m3],1.172
1,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_9686,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Isopoda, ,1131,urn:lsid:marinespecies.org:taxname:1131,WoRMS,HumanObservation,Abundance_[#/m3],1.172
2,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_9198,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Evadne nordmanni, ,106273,urn:lsid:marinespecies.org:taxname:106273,WoRMS,HumanObservation,Abundance_[#/m3],1.172
3,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_9586,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Pseudocalanus newmani, ,157679,urn:lsid:marinespecies.org:taxname:157679,WoRMS,HumanObservation,Abundance_[#/m3],4.686
4,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_3460,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Pseudocalanus acuspes, ,104514,urn:lsid:marinespecies.org:taxname:104514,WoRMS,HumanObservation,Abundance_[#/m3],4.686
5,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_8794,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Echinodermata,larvae,1806,urn:lsid:marinespecies.org:taxname:1806,WoRMS,HumanObservation,Abundance_[#/m3],337.425
6,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_6492,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Podon leuckartii, ,106277,urn:lsid:marinespecies.org:taxname:106277,WoRMS,HumanObservation,Abundance_[#/m3],18.746
7,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_7068,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Fritillaria borealis, ,103375,urn:lsid:marinespecies.org:taxname:103375,WoRMS,HumanObservation,Abundance_[#/m3],206.204
8,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_4672,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Pseudocalanus,male,104165,urn:lsid:marinespecies.org:taxname:104165,WoRMS,HumanObservation,Abundance_[#/m3],18.746
9,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2547,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Pseudocalanus, ,104165,urn:lsid:marinespecies.org:taxname:104165,WoRMS,HumanObservation,Abundance_[#/m3],93.729
10,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_9770,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Aglantha digitale, ,117849,urn:lsid:marinespecies.org:taxname:117849,WoRMS,HumanObservation,Abundance_[#/m3],32.805
11,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_9858,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Calanoida,nauplii,11,urn:lsid:marinespecies.org:taxname:11,WoRMS,HumanObservation,Abundance_[#/m3],449.9
12,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_7066,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Ophiuroidea,larvae,123084,urn:lsid:marinespecies.org:taxname:123084,WoRMS,HumanObservation,Abundance_[#/m3],974.784
13,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_1850,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Cirripedia,cyprid,1082,urn:lsid:marinespecies.org:taxname:1082,WoRMS,HumanObservation,Abundance_[#/m3],32.805
14,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_3295,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Calanus glacialis/marshallae, ,19677,urn:lsid:marinespecies.org:taxname:19677,WoRMS,HumanObservation,Abundance_[#/m3],1.172
15,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_3524,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Gastropoda,larvae,101,urn:lsid:marinespecies.org:taxname:101,WoRMS,HumanObservation,Abundance_[#/m3],674.85
16,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_9805,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Acartia, ,104108,urn:lsid:marinespecies.org:taxname:104108,WoRMS,HumanObservation,Abundance_[#/m3],524.883
17,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2827,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Acartia longiremis, ,104257,urn:lsid:marinespecies.org:taxname:104257,WoRMS,HumanObservation,Abundance_[#/m3],121.848
18,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_1259,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Bivalvia, ,105,urn:lsid:marinespecies.org:taxname:105,WoRMS,HumanObservation,Abundance_[#/m3],2099.534
19,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_3393,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Echinodermata,bipinnaria,1806,urn:lsid:marinespecies.org:taxname:1806,WoRMS,HumanObservation,Abundance_[#/m3],374.917
20,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_2179,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Cirripedia,nauplii,1082,urn:lsid:marinespecies.org:taxname:1082,WoRMS,HumanObservation,Abundance_[#/m3],4049.1009999999997
21,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_1289,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Oithona similis, ,106656,urn:lsid:marinespecies.org:taxname:106656,WoRMS,HumanObservation,Abundance_[#/m3],2849.367
22,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_3710,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Centropages abdominalis, ,196774,urn:lsid:marinespecies.org:taxname:196774,WoRMS,HumanObservation,Abundance_[#/m3],1593.396
23,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_9538,AMBON_Zooplankton_2017_BBL1_2017-08-20T22:48:00,2017-08-20T22:48:00,TWINRING_150UM_MICROSCOPY,-163.5095,69.3443,12,Polychaeta,larvae,883,urn:lsid:marinespecies.org:taxname:883,WoRMS,HumanObservation,Abundance_[#/m3],2062.042
24,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_1597,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,2017-08-17T15:24:00,TWINRING_150UM_MICROSCOPY,-162.766,70.0357,13,Pisces,larvae,11676,urn:lsid:marinespecies.org:taxname:11676,WoRMS,HumanObservation,Abundance_[#/m3],0.198
25,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_8626,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,2017-08-17T15:24:00,TWINRING_150UM_MICROSCOPY,-162.766,70.0357,13,Isopoda, ,1131,urn:lsid:marinespecies.org:taxname:1131,WoRMS,HumanObservation,Abundance_[#/m3],0.198
26,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_5965,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,2017-08-17T15:24:00,TWINRING_150UM_MICROSCOPY,-162.766,70.0357,13,Rotifera, ,1426,urn:lsid:marinespecies.org:taxname:1426,WoRMS,HumanObservation,Abundance_[#/m3],12.640999999999998
27,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_2296,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,2017-08-17T15:24:00,TWINRING_150UM_MICROSCOPY,-162.766,70.0357,13,Harpacticoida, ,1102,urn:lsid:marinespecies.org:taxname:1102,WoRMS,HumanObservation,Abundance_[#/m3],0.198
28,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_7369,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,2017-08-17T15:24:00,TWINRING_150UM_MICROSCOPY,-162.766,70.0357,13,Harpacticoida, ,1102,urn:lsid:marinespecies.org:taxname:1102,WoRMS,HumanObservation,Abundance_[#/m3],0.198
29,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_3050,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,2017-08-17T15:24:00,TWINRING_150UM_MICROSCOPY,-162.766,70.0357,13,Cyclopoida,nauplii,1101,urn:lsid:marinespecies.org:taxname:1101,WoRMS,HumanObservation,Abundance_[#/m3],3.16
30,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_ML1.1_9245,AMBON_Zooplankton_2017_ML1.1_2017-08-17T15:24:00,2017-08-17T15:24:00,TWINRING_150UM_MICROSCOPY,-162.766,70.0357,13,Calanus glacialis/marshallae, ,19677,urn:lsid:marinespecies.org:taxname:19677,WoRMS,HumanObservation,Abundance_[#/m3],0.79
