,occurenceRemarks,eventDate,decimalLongitude,decimalLatitude,verbatimDepth,scientificName,lifeStage,taxonID,datasetID,occurenceID,scientificNameID,nomenclaturalCode,basisOfRecord,organismyQuantityType,organismQuantity
0,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Pisces,larvae,11676.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_11676.0,urn:lsid:marinespecies.org:taxname:11676.0,WoRMS,Human Observation,Abundance_[#/m3],1.172
1,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Isopoda, ,1131.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_1131.0,urn:lsid:marinespecies.org:taxname:1131.0,WoRMS,Human Observation,Abundance_[#/m3],1.172
2,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Evadne nordmanni, ,106273.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_106273.0,urn:lsid:marinespecies.org:taxname:106273.0,WoRMS,Human Observation,Abundance_[#/m3],1.172
3,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Pseudocalanus newmani, ,157679.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_157679.0,urn:lsid:marinespecies.org:taxname:157679.0,WoRMS,Human Observation,Abundance_[#/m3],4.686
4,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Pseudocalanus acuspes, ,104514.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_104514.0,urn:lsid:marinespecies.org:taxname:104514.0,WoRMS,Human Observation,Abundance_[#/m3],4.686
5,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Echinodermata,larvae,1806.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_1806.0,urn:lsid:marinespecies.org:taxname:1806.0,WoRMS,Human Observation,Abundance_[#/m3],337.425
6,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Podon leuckartii, ,106277.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_106277.0,urn:lsid:marinespecies.org:taxname:106277.0,WoRMS,Human Observation,Abundance_[#/m3],18.746
7,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Fritillaria borealis, ,103375.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_103375.0,urn:lsid:marinespecies.org:taxname:103375.0,WoRMS,Human Observation,Abundance_[#/m3],206.204
8,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Pseudocalanus,male,104165.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_104165.0,urn:lsid:marinespecies.org:taxname:104165.0,WoRMS,Human Observation,Abundance_[#/m3],18.746
9,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Pseudocalanus, ,104165.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_104165.0,urn:lsid:marinespecies.org:taxname:104165.0,WoRMS,Human Observation,Abundance_[#/m3],93.729
10,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Aglantha digitale, ,117849.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_117849.0,urn:lsid:marinespecies.org:taxname:117849.0,WoRMS,Human Observation,Abundance_[#/m3],32.805
11,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Calanoida,nauplii,1100.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_1100.0,urn:lsid:marinespecies.org:taxname:1100.0,WoRMS,Human Observation,Abundance_[#/m3],449.9
12,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Ophiuroidea,larvae,123084.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_123084.0,urn:lsid:marinespecies.org:taxname:123084.0,WoRMS,Human Observation,Abundance_[#/m3],974.784
13,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Cirripedia,cyprid,1082.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_1082.0,urn:lsid:marinespecies.org:taxname:1082.0,WoRMS,Human Observation,Abundance_[#/m3],32.805
14,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Calanus glacialis/marshallae, ,196770.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_196770.0,urn:lsid:marinespecies.org:taxname:196770.0,WoRMS,Human Observation,Abundance_[#/m3],1.172
15,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Gastropoda,larvae,101.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_101.0,urn:lsid:marinespecies.org:taxname:101.0,WoRMS,Human Observation,Abundance_[#/m3],674.85
16,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Acartia, ,104108.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_104108.0,urn:lsid:marinespecies.org:taxname:104108.0,WoRMS,Human Observation,Abundance_[#/m3],524.883
17,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Acartia longiremis, ,104257.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_104257.0,urn:lsid:marinespecies.org:taxname:104257.0,WoRMS,Human Observation,Abundance_[#/m3],121.848
18,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Bivalvia, ,105.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_105.0,urn:lsid:marinespecies.org:taxname:105.0,WoRMS,Human Observation,Abundance_[#/m3],2099.534
19,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Echinodermata,bipinnaria,1806.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_1806.0,urn:lsid:marinespecies.org:taxname:1806.0,WoRMS,Human Observation,Abundance_[#/m3],374.917
20,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Cirripedia,nauplii,1082.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_1082.0,urn:lsid:marinespecies.org:taxname:1082.0,WoRMS,Human Observation,Abundance_[#/m3],4049.1009999999997
21,TWINRING_150UM_MICROSCOPY,2017-08-20 22:48:00,-163.5095,69.3443,12,Oithona similis, ,106656.0,AMBON_Zooplankton_2017,AMBON_Zooplankton_2017_BBL1_106656.0,urn:lsid:marinespecies.org:taxname:106656.0,WoRMS,Human Observation,Abundance_[#/m3],2849.367
