species,taxon,gelatinous,small
Acartia longiremis,Acartia longiremis,0,1
Aeginopsis laurentii,Aeginopsis laurentii,1,0
Aglantha digitale,Aglantha digitale,1,0
Amphipoda,other.unid,0,0
Apherusa,Apherusa,0,0
Aurelia,Aurelia,1,0
Beroe,Beroe,1,0
Bolinopsis infundibulum,Bolinopsis infundibulum,1,0
Bougainvillia superciliaris,Bougainvillia superciliaris,1,0
Brachyura,Brachyura,0,0
Calanus glacialis/marshallae,Calanus glacialis,0,0
Catablema,Catablema,1,0
Centropages abdominalis,Centropages abdominalis,0,0
Chrysaora melanaster,Chrysaora melanaster,1,0
Cirripedia,Cirripedia,0,1
Clausocalanus,Clausocalanus,0,0
Clione limacina,Clione limacina,0,0
Cnidaria,other.unid,1,0
Ctenophora,Ctenophora,1,0
Cumacea,other.unid,0,0
Cyanea capillata,Cyanea capillata,1,0
Decapoda,Decapoda,0,0
Epilabidocera longipedata,Epilabidocera longipedata,0,0
Eucalanus bungii,Eucalanus bungii,0,0
Eukrohnia hamata,Eukrohnia hamata,0,0
Euphausiacea,other.unid,0,0
Euphysa flammea,Euphysa flammea,1,0
Eurytemora pacifica,Eurytemora pacifica,0,1
Gammaridae,other.unid,0,0
Halitholus cirratus,Halitholus cirratus,1,0
Hippolytidae,Hippolytidae,0,0
Hyperia,Hyperiidae,0,0
Hyperiidae,Hyperiidae,0,0
Hyperoche medusarum,Hyperoche medusarum,0,0
Isopoda,other.unid,0,0
Leptothecata,Leptothecata,1,0
Limacina helicina,Limacina helicina,0,1
Melicertum octocostatum,Melicertum octocostatum,1,0
Mertensia ovum,Mertensia ovum,1,0
Metridia,Metridia,0,0
Metridia pacifica,Metridia,0,0
Mitrocomella polydiademata,Mitrocomella polydiademata,1,0
Mysida,Mysida,0,0
Neocalanus cristatus,Neocalanus cristatus,0,0
Neocalanus flemingeri,Neocalanus flemingeri,0,0
Neocalanus plumchrus,Neocalanus plumchrus,0,0
Neomysis rayii,Neomysis rayii,0,0
Obelia longissima,Obelia longissima,1,0
Oikopleura,Oikopleura,0,0
Oikopleura vanhoffeni,Oikopleura,0,0
Onisimus,Onisimus,0,0
Ostracoda,Ostracoda,0,0
Paguridae,Paguridae,0,0
Pandalidae,Pandalidae,0,0
Parasagitta elegans,Parasagitta elegans,0,0
Pisces,other.unid,0,0
Podon leuckartii,Podon leuckartii,0,1
Polychaeta,Polychaeta,0,1
Pseudocalanus,Pseudocalanus,0,1
Pseudocalanus acuspes,Pseudocalanus,0,1
Pseudocalanus mimus,Pseudocalanus,0,1
Pseudocalanus minutus,Pseudocalanus,0,1
Pseudocalanus newmani,Pseudocalanus,0,1
Ptychogena,Ptychogena,1,0
Rathkea octopunctata,Rathkea octopunctata,1,0
Sarsia tubulosa,Sarsia tubulosa,1,0
Siphonophorae,Siphonophorae,1,0
Sipuncula,Sipuncula,0,0
Themisto libellula,Themisto libellula,0,0
Themisto pacifica,Themisto pacifica,0,0
Thysanoessa inermis,Thysanoessa inermis,0,0
Thysanoessa raschii,Thysanoessa raschii,0,0
Thysanoessa spinifera,Thysanoessa spinifera,0,0
Tiaropsis multicirrata,Tiaropsis multicirrata,1,0
Tomopteris,Tomopteris,0,0
Tortanus discaudatus,Tortanus discaudatus,0,1
