"AMBON2015","AMBON2015","AMBON2015","AMBON2015","AMBON2015","AMBON2017","AMBON2017","AMBON2017","AMBON2017","AMBON2017","p.val.means"
"latitude.master",70.6697002898551,1.21781384931211,67.67,72.49573,69,70.6697002898551,1.21781384931211,67.67,72.49573,69,NA
"longitude.master",-163.881994927536,2.51561319467431,-168.96,-159.39283,69,-163.881994927536,2.51561319467431,-168.96,-159.39283,69,NA
"depth",40.1007246376812,8.4259686681467,12.4,55.9,69,43.2246376811594,8.12292336895843,16,59,69,6.76413161168962e-07
"SST",6.37081497584541,1.88362358914224,2.3209,10.281,69,7.01717101449275,1.94178159469607,3.7848,11.8829,69,0.000291528259036491
"BT",2.69609758454106,3.18629117090619,-1.6553,9.7864,69,3.55789565217391,2.67513349955138,-0.2089,10.549,69,0.000401937761943352
"SSS",30.7115147342995,1.34651517366907,26.6898,32.6913,69,31.3531826086957,0.713966888743803,28.1247,32.7049,69,1.13588106567628e-06
"Bsal",31.9522903381643,0.520622443707726,30.1976,32.745,69,32.1186695652174,0.571428051490903,30.0905,32.7586,69,0.000284024273625286
"NH4",2.6705223880597,1.26662224832257,0.44,6.73,67,2.73028985507246,1.24891743829994,0.19,5.72,69,0.811096353441917
"phosphate",1.15238805970149,0.473625889802946,0.57,2.29,67,1.24514492753623,0.333724493423327,0.51,1.73,69,0.0375093309721384
"nitrite.ate",4.37126865671642,4.777181505747,0.24,17,67,4.70079710144928,3.81368006068752,0.21,16,69,0.64788271416653
"silicate",18.7226865671642,11.0466422749986,6.41,48.75,67,14.5007971014493,6.00714657862202,3.04,35.13,69,4.63859650930071e-05
"chla",1.90316176470588,2.30105992845409,0.42,14.64,68,1.13551470588235,0.705308834496857,0.37,3.37,68,0.00629674050112107
"int.chla",67.5939705882353,73.5332729569432,12.7,423.89,68,44.6984782608696,28.1681551436081,10.86,165.17,69,0.00497208705792252
"sed.chla",9.89608695652174,4.14618329714255,2.88,21.82,69,12.5717647058824,6.23963449493458,3.11,33.83,68,0.00121048325974564
"phi.0",7.7781884057971,18.1513974095623,0,90.52,69,3.4586231884058,7.35378933352101,0,40.98,69,0.0204781127045116
"phi.1",1.11905797101449,1.66383090808759,0.01,7.2,69,1.19630434782609,1.91954415011625,0,8.88,69,0.755593598804294
"phi.2",4.70992753623188,7.24987700163178,0.02,43.46,69,4.96565217391304,7.24923230788671,0,34.37,69,0.754685937739032
"phi.3",21.7042753623188,23.063121492907,0.17,85.36,69,21.1504347826087,22.5574037953097,0.13,82.83,69,0.81783060201768
"phi.4",12.9509420289855,8.39245359882047,0.46,35.17,69,15.4261594202899,8.6698141876133,1.62,36.47,69,0.0410975575003572
"phi.5",51.7365942028986,29.7741347789135,1,97.19,69,53.8026086956522,29.3561218012917,3.2,97.43,69,0.406878054784348
"TOC",0.808695652173913,0.427657480603476,0.12,2.48,69,0.836666666666667,0.546982811501816,0.08,3.47,69,0.619109091691317
"TON",0.109855072463768,0.0505118726178541,0.02,0.21,69,0.111159420289855,0.0669621541900844,0.01,0.3,69,0.816595965553121
"C.N.ratio",7.66086956521739,3.26133982713097,1.37,24.11,69,7.65985507246377,1.7058976356725,5.6,16.3,69,0.997570581244693
"delC13",-23.3265151515152,2.76579686245796,-39.9,-21.2,66,-22.9855072463768,0.77578714529158,-25,-21.6,69,0.222315642794327
"delN15",6.93695652173913,1.77709388042572,2.6,11,69,7.77826086956522,1.23429779575002,3.5,10.6,69,2.26959778273719e-06
"strat",0.035001407562955,0.0325834037739414,-2.43243243243637e-05,0.1484,69,0.0239965610615022,0.0133406919342154,0.000228571428571403,0.093375,69,0.00163453687718729
"melt.bot",0.0351426991318794,0.0161033129701752,0,0.0828180045986615,69,0.0208473854851911,0.0103203047441905,0,0.0423326198424996,68,1.39652394450067e-09
"runoff.bot",0.0484077686292194,0.0240303523992134,-0.000124286489305625,0.129994236311239,69,0.05585294035477,0.0163873045355152,0.0311420522978132,0.105034582132565,68,0.00307276600615568
"melt.sfc",0.0578245120441768,0.0495483899918935,0,0.237965857009568,69,0.0254388978845217,0.0119711056898369,0.00348270370429542,0.0551017650911299,68,3.01016468016285e-08
"runoff.sfc",0.061613346755553,0.0277485397249,-0.00389374970656359,0.133299711815562,69,0.0744251596780271,0.0211598054326005,0.0415513026532275,0.140589128316534,68,9.06681025046149e-05
