"FO.2015","FO.2017","FO.tot"
"",69,75,144
"Acartia",65,75,140
"Bivalvia",66,72,138
"Bryozoa",16,20,36
"Centropages abdominalis",27,62,89
"Echinodermata",37,58,95
"Evadne nordmanni",3,20,23
"Fritillaria borealis",65,71,136
"Gastropoda",48,66,114
"Limacina helicina",51,49,100
"Oithona similis",69,75,144
"Ophiuroidea",11,52,63
"Podon leuckartii",4,24,28
"Polychaeta",52,74,126
"Pseudocalanus",69,75,144
"Eurytemora",11,30,41
"Triconia borealis",42,51,93
"Cirripedia",62,75,137
"Microsetella",15,30,45
"Microcalanus",10,9,19
"Scolecithricella minor",1,0,1
"Candacia",1,0,1
"Cyclopina",1,0,1
"Caligidae",0,10,10
"Sipuncula",0,16,16
"Tortanus discaudatus",0,22,22
"Plotocnide borealis",0,7,7
"Oithona setigera",0,11,11
"Clausiidae",0,2,2
"Typhloscolex muelleri",0,1,1
"Cerianthus",0,23,23
"Dimophyes arctica",0,1,1
